Format Version,1.23,Take Name,Illuminance Optitrack_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 03.20.26.743,Capture Start Frame,1623671,Total Frames in Take,16332,Total Exported Frames,16332,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.085389,0.754404,-0.534749,0.370981,-3947.544809,1362.133249,-2912.398378
1,0.008000,0.085754,0.754398,-0.535029,0.370506,-3947.761271,1362.317797,-2912.234016
2,0.017000,0.085963,0.754256,-0.535141,0.370585,-3947.647423,1362.308613,-2912.205912
3,0.025000,0.086236,0.754177,-0.535213,0.370576,-3947.552111,1362.314536,-2912.184500
4,0.033000,0.086502,0.754129,-0.535344,0.370425,-3947.498093,1362.299896,-2912.167760
5,0.042000,0.086701,0.754139,-0.535377,0.370310,-3947.447381,1362.302620,-2912.173958
6,0.050000,0.086877,0.754110,-0.535487,0.370168,-3947.402425,1362.273907,-2912.173359
7,0.058000,0.087078,0.754092,-0.535550,0.370065,-3947.355870,1362.256267,-2912.175293
8,0.067000,0.087267,0.754090,-0.535617,0.369929,-3947.313745,1362.239665,-2912.184373
9,0.075000,0.087438,0.754062,-0.535715,0.369804,-3947.258581,1362.206715,-2912.194128
10,0.083000,0.087598,0.753954,-0.535915,0.369696,-3947.190733,1362.149957,-2912.194523
11,0.092000,0.087649,0.753824,-0.536085,0.369702,-3947.106072,1362.084434,-2912.195590
12,0.100000,0.087733,0.753705,-0.536335,0.369562,-3947.050085,1362.016071,-2912.186185
13,0.108000,0.087753,0.753530,-0.536577,0.369563,-3946.956353,1361.931727,-2912.189729
14,0.117000,0.087811,0.753468,-0.536756,0.369417,-3946.889925,1361.886746,-2912.204296
15,0.125000,0.087812,0.753399,-0.536966,0.369252,-3946.823022,1361.819494,-2912.220663
16,0.133000,0.087751,0.753427,-0.537091,0.369027,-3946.780889,1361.767344,-2912.247121
17,0.142000,0.087725,0.753380,-0.537266,0.368875,-3946.707443,1361.686011,-2912.276176
18,0.150000,0.087755,0.753379,-0.537405,0.368666,-3946.646327,1361.612823,-2912.311928
19,0.158000,0.087788,0.753379,-0.537488,0.368537,-3946.563209,1361.536224,-2912.344413
20,0.167000,0.088062,0.753374,-0.537584,0.368342,-3946.472936,1361.484770,-2912.389665
21,0.175000,0.088004,0.753417,-0.537633,0.368196,-3946.427988,1361.428505,-2912.420006
22,0.183000,0.088013,0.753276,-0.537827,0.368199,-3946.317529,1361.321631,-2912.427174
23,0.192000,0.086600,0.752878,-0.538133,0.368902,-3946.119842,1360.958853,-2912.337992
24,0.200000,0.086430,0.752638,-0.538373,0.369081,-3945.984967,1360.823052,-2912.321893
25,0.208000,0.086402,0.752488,-0.538483,0.369233,-3945.844392,1360.743018,-2912.324620
26,0.217000,0.086406,0.752277,-0.538681,0.369373,-3945.688489,1360.628971,-2912.315252
27,0.225000,0.086513,0.752134,-0.538838,0.369411,-3945.548357,1360.558409,-2912.313777
28,0.233000,0.086597,0.752008,-0.538902,0.369554,-3945.394336,1360.512036,-2912.290852
