meter_frame,measured_lux,calculated_lux,delta_lux,error_pct,error_stops,dist_to_fix_m,gamma_fix_deg,meter_tx,meter_ty,meter_tz,meter_qx,meter_qy,meter_qz,meter_qw
1058,3.0000,0.0000,-3.0000,-100.0000,-11.5507,2.3670,143.833,1092.496704,1910.898438,-870.480530,0.177059,0.088062,0.079365,-0.977035
1111,3.5000,0.0000,-3.5000,-100.0000,-11.7731,2.2629,148.099,1094.321655,1921.099487,-482.164246,0.168599,-0.207105,0.019032,-0.963494
1135,4.7000,0.0000,-4.7000,-100.0000,-12.1984,2.2367,149.740,1083.127441,1931.943726,-311.902313,0.181594,-0.275012,0.009081,-0.944092
1151,4.0000,0.0000,-4.0000,-100.0000,-11.9658,2.2077,151.846,1023.619507,1946.461670,-193.206848,0.205253,-0.309645,-0.003663,-0.928427
1168,4.4000,0.0000,-4.4000,-100.0000,-12.1033,2.1940,153.793,966.964722,1968.493164,-61.481918,0.208136,-0.317991,-0.039641,-0.924116
1185,5.0000,0.0000,-5.0000,-100.0000,-12.2877,2.1931,154.096,956.325378,1972.734131,57.915852,0.204373,-0.320017,-0.056701,-0.923367
1200,5.0000,0.0000,-5.0000,-100.0000,-12.2877,2.2056,153.237,983.207153,1969.340820,140.493500,0.212848,-0.313977,-0.059389,-0.923357
1202,5.4000,0.0000,-5.4000,-100.0000,-12.3987,2.2098,153.095,988.429504,1970.584473,151.385376,0.215119,-0.311169,-0.060209,-0.923728
1423,5.0000,0.0000,-5.0000,-100.0000,-12.2877,2.3857,148.643,1229.253662,2037.249023,-173.446396,0.102406,-0.928407,-0.323100,-0.152248
1440,5.0000,0.0000,-5.0000,-100.0000,-12.2877,2.3615,149.380,1172.787720,2032.223267,-266.985352,0.065699,-0.946556,-0.308871,-0.065678
1442,4.7000,0.0000,-4.7000,-100.0000,-12.1984,2.3571,149.496,1163.655884,2030.858887,-278.163208,0.059338,-0.948549,-0.305311,-0.059318
1459,4.4000,0.0000,-4.4000,-100.0000,-12.1033,2.2905,151.095,1039.074341,2005.189941,-382.288910,0.053735,-0.963948,-0.260535,-0.006157
1476,4.0000,0.0000,-4.0000,-100.0000,-11.9658,2.2252,153.569,869.803955,1992.607178,-473.841278,0.038404,-0.965442,-0.255623,0.033210
1493,3.8000,0.0000,-3.8000,-100.0000,-11.8918,2.1796,155.581,718.348450,1984.597900,-543.923035,0.035660,-0.966526,-0.244235,0.070035
1510,3.5000,0.0000,-3.5000,-100.0000,-11.7731,2.1522,156.706,595.434937,1976.729980,-608.074341,0.029280,-0.960554,-0.247231,0.123919
1544,3.3000,0.0000,-3.3000,-100.0000,-11.6883,2.1468,157.042,370.866638,1976.732422,-750.743042,0.004329,-0.944754,-0.260608,0.198757
1578,3.0000,0.0000,-3.0000,-100.0000,-11.5507,2.1176,157.965,139.455124,1962.933716,-782.138184,0.006147,-0.944037,-0.244458,0.221354
1595,2.9000,0.0000,-2.9000,-100.0000,-11.5018,2.1031,158.607,52.771915,1958.161255,-765.311951,0.032292,-0.933733,-0.226394,0.275403
1629,2.7000,0.0000,-2.7000,-100.0000,-11.3987,2.1149,156.395,-99.350090,1937.953003,-841.012939,0.050758,-0.941881,-0.205431,0.260925
1663,2.5000,0.0000,-2.5000,-100.0000,-11.2877,2.1719,152.578,-301.821136,1927.901123,-953.636353,0.049672,-0.930487,-0.195456,0.305818
1680,2.3000,0.0000,-2.3000,-100.0000,-11.1674,2.1870,150.561,-465.424652,1904.642822,-968.915527,0.056954,-0.928427,-0.164857,0.328026
1767,2.2000,0.0000,-2.2000,-100.0000,-11.1033,2.4340,141.494,-1199.950195,1904.735474,-925.571167,-0.012874,-0.870839,-0.187574,0.454191
1784,1.9000,0.0000,-1.9000,-100.0000,-10.8918,2.4854,139.923,-1346.635742,1901.809937,-864.314392,-0.026151,-0.862252,-0.185951,0.470383
1818,2.0000,0.0000,-2.0000,-100.0000,-10.9658,2.5982,136.918,-1612.847778,1897.687500,-740.492065,-0.033640,-0.853094,-0.172435,0.491289
1943,2.2000,0.0000,-2.2000,-100.0000,-11.1033,3.0232,128.711,-2270.810547,1890.675293,-639.004395,-0.018511,-0.885061,-0.184351,0.427011
1966,2.7000,0.0000,-2.7000,-100.0000,-11.3987,3.1352,127.041,-2403.819336,1888.626465,-695.952026,-0.049322,-0.872550,-0.194668,0.445341
2034,2.9000,0.0000,-2.9000,-100.0000,-11.5018,3.4901,122.831,-2854.737549,1892.180542,-671.464233,-0.047350,-0.817205,-0.187187,0.543042
2085,3.0000,0.0000,-3.0000,-100.0000,-11.5507,3.7502,120.132,-3181.178955,1882.568848,-632.558044,-0.046619,-0.803836,-0.188730,0.562188
2151,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.1935,116.680,-3711.600098,1882.907104,-513.887207,-0.054171,-0.761133,-0.169807,0.623624
2203,3.5000,0.0000,-3.5000,-100.0000,-11.7731,4.4805,115.119,-4035.857178,1902.009644,-411.680878,-0.118037,-0.689850,-0.191157,0.688210
2273,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.6379,112.629,-4280.494141,1784.470337,51.883003,-0.014705,-0.394529,-0.067424,0.916288
2324,3.0000,0.0000,-3.0000,-100.0000,-11.5507,4.6194,111.765,-4285.096680,1712.867188,206.293472,-0.015504,-0.163336,-0.022956,0.986182
2358,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.5384,112.549,-4183.191895,1740.337524,262.838043,-0.067842,-0.039836,0.023155,0.996632
2392,3.5000,0.0000,-3.5000,-100.0000,-11.7731,4.4445,113.795,-4046.448975,1793.167358,405.188568,-0.121913,0.000480,-0.012279,0.992465
2408,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.4255,113.957,-4014.119629,1796.977661,492.437469,-0.093670,0.052326,-0.033373,0.993667
2562,2.7000,0.0000,-2.7000,-100.0000,-11.3987,4.3547,114.429,-3854.386230,1800.966553,929.400757,-0.090662,0.150860,-0.071061,0.981821
2569,2.7000,0.0000,-2.7000,-100.0000,-11.3987,4.3619,114.328,-3864.555664,1796.895020,928.559021,-0.084459,0.151927,-0.068082,0.982420
2632,2.9000,0.0000,-2.9000,-100.0000,-11.5018,4.3835,114.188,-3894.892334,1796.067993,905.111633,-0.093974,0.148706,-0.067627,0.982080
2734,3.0000,0.0000,-3.0000,-100.0000,-11.5507,4.3850,114.291,-3894.707764,1803.858032,897.432251,-0.107086,0.112384,-0.063436,0.985839
2750,3.5000,0.0000,-3.5000,-100.0000,-11.7731,4.3858,114.307,-3895.805420,1805.290527,893.844177,-0.108176,0.108141,-0.059820,0.986420
2824,3.5000,0.0000,-3.5000,-100.0000,-11.7731,4.3755,114.290,-3881.730713,1799.876831,915.085693,-0.090297,0.111036,-0.061934,0.987766
2853,3.0000,0.0000,-3.0000,-100.0000,-11.5507,4.2909,114.441,-3778.666016,1775.393311,990.897156,-0.006007,0.320247,-0.081646,0.943790
2870,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.3290,114.157,-3835.414307,1771.590820,944.288818,-0.163658,0.301091,0.049969,0.938117
2887,3.8000,0.0000,-3.8000,-100.0000,-11.8918,4.3284,114.986,-3814.701416,1828.294189,916.737915,-0.259500,0.215100,0.041051,0.940588
3058,3.8000,0.0000,-3.8000,-100.0000,-11.8918,3.8881,120.472,-2723.383789,1971.705322,1952.572510,-0.278964,0.521612,0.052941,0.804548
3211,3.5000,0.0000,-3.5000,-100.0000,-11.7731,4.1595,117.374,-2631.564941,1912.510620,2592.057861,-0.140707,-0.149635,-0.097152,0.973844
3298,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.5108,114.204,-3352.111816,1849.382935,2385.381836,-0.049976,-0.497708,-0.119183,0.857662
3332,2.9000,0.0000,-2.9000,-100.0000,-11.5018,4.7038,113.123,-3648.291016,1847.185181,2324.572510,-0.034752,-0.604762,-0.104497,0.788756
3349,2.7000,0.0000,-2.7000,-100.0000,-11.3987,4.7759,112.510,-3802.327881,1828.407471,2237.987061,-0.038440,-0.634200,-0.096086,0.766211
3383,2.5000,0.0000,-2.5000,-100.0000,-11.2877,4.9346,111.625,-4130.895020,1818.564575,1994.738647,-0.017128,-0.708483,-0.089697,0.699795
3400,2.3000,0.0000,-2.3000,-100.0000,-11.1674,5.0168,111.008,-4283.295898,1798.477173,1893.920532,0.007608,-0.746579,-0.089040,0.659267
3452,2.2000,0.0000,-2.2000,-100.0000,-11.1033,5.1412,110.432,-4585.212402,1794.736694,1478.677368,0.020652,-0.867271,-0.099126,0.487431
3486,2.0000,0.0000,-2.0000,-100.0000,-10.9658,5.1373,110.125,-4695.130371,1767.570679,1105.930664,0.038688,-0.903681,-0.058787,0.422384
3503,1.9000,0.0000,-1.9000,-100.0000,-10.8918,5.1564,109.490,-4770.634766,1720.407959,932.710815,0.061116,-0.918075,-0.032254,0.390337
3519,1.8000,0.0000,-1.8000,-100.0000,-10.8138,5.1788,109.155,-4832.458008,1699.296875,761.720154,0.050987,-0.935912,-0.005586,0.348480
3742,1.9000,0.0000,-1.9000,-100.0000,-10.8918,3.7958,113.233,-3486.094238,1497.323853,116.007362,-0.076183,-0.889258,0.136965,-0.429718
3776,2.0000,0.0000,-2.0000,-100.0000,-10.9658,3.5662,115.282,-3219.889648,1523.052856,174.107574,-0.080777,-0.837141,0.103965,-0.530905
