meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_kern_10deg;delta_lux_kern_10deg;error_pct_kern_10deg;error_stops_kern_10deg;calculated_lux_kern_5deg;delta_lux_kern_5deg;error_pct_kern_5deg;error_stops_kern_5deg;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
884;16.0000;0.0000;-16.0000;-100.0000;-13.9658;0.8935;65.116;-436.514526;1855.565063;265.340729;-0.085248;-0.402412;0.025008;-0.911138;15.9999;-0.0001;-0.0008;-0.0000;62.2306;46.2306;288.9410;1.9596;25.4621;9.4621;59.1383;0.6703;13.7196;-2.2804;-14.2522;-0.2218
901;25.0000;0.0000;-25.0000;-100.0000;-14.6096;0.8419;60.727;-470.139954;1862.580566;354.140503;-0.076240;-0.432871;0.032049;-0.897654;25.0022;0.0022;0.0087;0.0001;115.0905;90.0905;360.3620;2.2028;33.6748;8.6748;34.6990;0.4297;21.5880;-3.4120;-13.6481;-0.2117
918;40.0000;5.3317;-34.6683;-86.6707;-2.9073;0.8059;54.645;-522.782532;1875.398926;451.991577;-0.075501;-0.469485;0.017722;-0.879528;40.0007;0.0007;0.0017;0.0000;275.2466;235.2466;588.1166;2.7827;48.0324;8.0324;20.0811;0.2640;34.2154;-5.7846;-14.4615;-0.2254
935;47.0000;19.3999;-27.6001;-58.7237;-1.2766;0.8019;49.032;-580.464111;1871.776855;514.399963;-0.070860;-0.505485;0.017011;-0.859753;47.1904;0.1904;0.4051;0.0058;582.8286;535.8286;1140.0607;3.6323;86.7212;39.7212;84.5132;0.8837;42.4094;-4.5906;-9.7673;-0.1483
952;157.0000;39.6393;-117.3607;-74.7520;-1.9858;0.8039;43.967;-631.577332;1863.205566;569.441284;-0.082220;-0.539357;0.041064;-0.837047;148.7204;-8.2796;-5.2737;-0.0782;1103.6230;946.6230;602.9446;2.8134;246.7169;89.7169;57.1445;0.6521;82.7776;-74.2224;-47.2754;-0.9235
969;897.0000;362.0256;-534.9744;-59.6404;-1.3090;0.7967;39.391;-667.074524;1875.492798;650.845154;-0.084067;-0.578116;0.050726;-0.810026;866.5118;-30.4882;-3.3989;-0.0499;1868.9747;971.9747;108.3584;1.0591;634.6351;-262.3649;-29.2492;-0.4992;417.4929;-479.5071;-53.4568;-1.1034
986;1997.0000;1575.5288;-421.4712;-21.1052;-0.3420;0.7802;34.454;-692.181152;1888.027466;765.918884;-0.069187;-0.633529;0.037874;-0.769688;1987.1592;-9.8408;-0.4928;-0.0071;3017.3035;1020.3035;51.0918;0.5954;2079.1575;82.1575;4.1140;0.0582;1412.7037;-584.2963;-29.2587;-0.4994
1003;3197.0000;2988.3923;-208.6077;-6.5251;-0.0973;0.7756;30.716;-712.992493;1893.329468;874.105286;-0.069468;-0.672059;0.049260;-0.735584;3222.4417;25.4417;0.7958;0.0114;3950.1489;753.1489;23.5580;0.3052;3405.0266;208.0266;6.5069;0.0909;2741.0107;-455.9893;-14.2630;-0.2220
1020;3597.0000;4095.4971;498.4971;13.8587;0.1872;0.7960;27.601;-748.821289;1888.197388;970.698914;-0.072503;-0.694944;0.032523;-0.714660;3487.5891;-109.4109;-3.0417;-0.0446;4350.4199;753.4199;20.9458;0.2744;3871.0752;274.0752;7.6195;0.1059;3282.6353;-314.3647;-8.7396;-0.1319
1054;2997.0000;3790.8755;793.8755;26.4890;0.3390;0.8356;27.572;-778.219727;1874.661621;1176.372925;-0.069737;-0.755320;0.058770;-0.648979;3157.8750;160.8750;5.3679;0.0754;3681.2566;684.2566;22.8314;0.2967;3314.9426;317.9426;10.6087;0.1455;2988.8450;-8.1550;-0.2721;-0.0039
1071;1597.0000;2272.1887;675.1887;42.2786;0.5087;0.8459;31.682;-753.991638;1870.969482;1293.672119;-0.048781;-0.802906;0.064277;-0.590619;1576.0698;-20.9302;-1.3106;-0.0190;2817.5137;1220.5137;76.4254;0.8191;2330.3325;733.3325;45.9194;0.5452;1904.7262;307.7262;19.2690;0.2542
1088;557.0000;786.9681;229.9681;41.2869;0.4986;0.8692;36.630;-728.563232;1867.478271;1405.663330;-0.058681;-0.834098;0.069370;-0.544081;558.3425;1.3425;0.2410;0.0035;1812.8042;1255.8042;225.4586;1.7025;891.8087;334.8087;60.1093;0.6791;625.6774;68.6774;12.3299;0.1677
1105;127.0000;202.1698;75.1698;59.1888;0.6707;0.8944;40.303;-709.835938;1846.317017;1497.741699;-0.053560;-0.858180;0.067877;-0.506015;198.4428;71.4428;56.2542;0.6439;1201.7357;1074.7357;846.2487;3.2422;393.8399;266.8399;210.1102;1.6328;218.2564;91.2564;71.8554;0.7812
1122;37.0000;35.2478;-1.7522;-4.7358;-0.0700;0.9255;44.207;-687.863647;1823.915283;1588.630493;-0.043065;-0.872462;0.085319;-0.479245;59.2850;22.2850;60.2298;0.6801;775.7469;738.7469;1996.6135;4.3900;226.6424;189.6424;512.5472;2.6148;50.8452;13.8452;37.4195;0.4586
1139;32.0000;18.2207;-13.7793;-43.0604;-0.8125;0.9495;48.266;-653.878845;1810.256714;1665.049316;-0.034421;-0.892771;0.077183;-0.442512;32.6015;0.6015;1.8798;0.0269;510.2148;478.2148;1494.4211;3.9950;122.4184;90.4184;282.5576;1.9357;32.0109;0.0109;0.0342;0.0005
1156;27.0000;13.7390;-13.2610;-49.1147;-0.9747;0.9436;51.787;-603.632141;1791.494263;1707.724854;0.003016;-0.915787;0.061937;-0.396848;26.9996;-0.0004;-0.0014;-0.0000;371.5467;344.5467;1276.0989;3.7825;61.9315;34.9315;129.3760;1.1977;27.9508;0.9508;3.5213;0.0499
1175;22.0000;3.8604;-18.1396;-82.4528;-2.5107;0.9243;56.181;-532.014954;1759.288574;1746.004761;0.016791;-0.927981;0.048209;-0.369115;22.0071;0.0071;0.0324;0.0005;242.5379;220.5379;1002.4449;3.4626;32.5649;10.5649;48.0225;0.5658;22.7633;0.7633;3.4695;0.0492
1191;20.0000;1.0278;-18.9722;-94.8611;-4.2824;0.9203;58.220;-500.141998;1723.625366;1770.494873;0.046595;-0.913982;0.031794;-0.401815;19.9645;-0.0355;-0.1774;-0.0026;187.4689;167.4689;837.3447;3.2286;27.5876;7.5876;37.9378;0.4640;20.3186;0.3186;1.5928;0.0228
1226;18.0000;0.5353;-17.4647;-97.0261;-5.0715;0.9389;58.638;-500.043457;1643.739868;1805.993774;0.075506;-0.918790;0.047005;-0.384596;18.1104;0.1104;0.6134;0.0088;177.1276;159.1276;884.0425;3.2987;24.7502;6.7502;37.5013;0.4594;19.1518;1.1518;6.3986;0.0895
1242;17.0000;0.0081;-16.9919;-99.9526;-11.0434;0.9346;59.870;-479.494843;1623.110474;1814.869385;0.088111;-0.932788;0.026392;-0.348491;17.5677;0.5677;3.3394;0.0474;154.0491;137.0491;806.1713;3.1798;23.8340;6.8340;40.2000;0.4875;17.5481;0.5481;3.2244;0.0458
1260;20.0000;0.0151;-19.9849;-99.9243;-10.3678;0.9099;59.776;-467.359161;1584.652222;1795.826294;0.164277;-0.926015;0.028811;-0.338645;19.4502;-0.5498;-2.7488;-0.0402;166.5181;146.5181;732.5906;3.0576;24.4703;4.4703;22.3513;0.2910;18.7231;-1.2769;-6.3843;-0.0952
1276;25.0000;2.1099;-22.8901;-91.5603;-3.5667;0.8906;57.714;-484.452240;1547.414307;1764.572510;0.200150;-0.914293;0.024468;-0.351297;24.9812;-0.0188;-0.0750;-0.0011;231.5508;206.5508;826.2032;3.2113;27.0055;2.0055;8.0221;0.1113;23.1123;-1.8877;-7.5507;-0.1133
1294;32.0000;10.6019;-21.3981;-66.8690;-1.5937;0.8843;53.615;-533.196106;1516.544312;1724.842773;0.212154;-0.889388;0.005613;-0.404905;31.9994;-0.0006;-0.0018;-0.0000;381.5130;349.5130;1092.2281;3.5756;49.6789;17.6789;55.2465;0.6346;30.7083;-1.2917;-4.0364;-0.0594
1311;40.0000;22.4886;-17.5114;-43.7784;-0.8308;0.8764;48.203;-593.415588;1492.650024;1667.111694;0.221171;-0.872328;-0.007775;-0.435965;39.6363;-0.3637;-0.9093;-0.0132;644.5056;604.5056;1511.2639;4.0101;183.7556;143.7556;359.3891;2.1997;37.4215;-2.5785;-6.4461;-0.0961
1328;97.0000;54.1467;-42.8533;-44.1786;-0.8411;0.8371;43.768;-616.334045;1506.847900;1593.966187;0.210356;-0.859361;-0.008963;-0.466014;81.0579;-15.9421;-16.4352;-0.2590;972.0295;875.0295;902.0923;3.3249;380.6849;283.6849;292.4586;1.9725;66.0257;-30.9743;-31.9322;-0.5550
1345;837.0000;613.2551;-223.7449;-26.7318;-0.4487;0.7668;38.516;-615.128174;1524.379761;1492.662964;0.178219;-0.840673;-0.001475;-0.511375;540.1102;-296.8898;-35.4707;-0.6320;1618.1868;781.1868;93.3317;0.9511;842.9219;5.9219;0.7075;0.0102;489.3317;-347.6683;-41.5374;-0.7744
1348;837.0000;846.9648;9.9648;1.1905;0.0171;0.7547;37.556;-614.218445;1531.027954;1475.161499;0.163675;-0.837653;-0.006007;-0.521069;824.5069;-12.4931;-1.4926;-0.0217;1775.8234;938.8234;112.1653;1.0852;973.5973;136.5973;16.3199;0.2181;624.1982;-212.8018;-25.4243;-0.4232
1362;3997.0000;3530.0042;-466.9958;-11.6837;-0.1792;0.7067;31.395;-622.434814;1551.927856;1382.618042;0.129940;-0.826435;0.005372;-0.547806;3551.8699;-445.1301;-11.1366;-0.1703;3001.4607;-995.5393;-24.9072;-0.4133;2439.0027;-1557.9973;-38.9792;-0.7126;2729.3137;-1267.6863;-31.7159;-0.5504
1379;6997.0000;8575.7012;1578.7012;22.5625;0.2935;0.6666;22.632;-638.141968;1568.699951;1268.690796;0.081048;-0.816963;0.022891;-0.570508;6486.1196;-510.8804;-7.3014;-0.1094;5275.9077;-1721.0923;-24.5976;-0.4073;5712.2925;-1284.7075;-18.3608;-0.2927;6156.5469;-840.4531;-12.0116;-0.1846
1391;6997.0000;10472.7021;3475.7021;49.6742;0.5818;0.6679;15.162;-669.909424;1570.316284;1185.290527;0.067256;-0.803674;0.016182;-0.591035;6995.0767;-1.9233;-0.0275;-0.0004;6580.8560;-416.1440;-5.9475;-0.0885;7200.2681;203.2681;2.9051;0.0413;7420.6191;423.6191;6.0543;0.0848
1406;6997.0000;9654.7275;2657.7275;37.9838;0.4645;0.6963;6.188;-720.751587;1575.492920;1071.748535;0.084138;-0.761938;0.027730;-0.641563;6995.7031;-1.2969;-0.0185;-0.0003;6806.2236;-190.7764;-2.7265;-0.0399;7088.2656;91.2656;1.3044;0.0187;7050.1738;53.1738;0.7600;0.0109
