frame,seconds,milliseconds,value
884,14,733,19
901,15,17,28
918,15,300,43
935,15,583,50
952,15,867,160
969,16,150,900
986,16,433,2000
1003,16,717,3200
1020,17,0,3600
1054,17,567,3000
1071,17,850,1600
1088,18,133,560
1105,18,417,130
1122,18,700,40
1139,18,983,35
1156,19,267,30
1175,19,583,25
1191,19,850,23
1226,20,433,21
1242,20,700,20
1260,21,0,23
1276,21,267,28
1294,21,567,35
1311,21,850,43
1328,22,133,100
1345,22,417,840
1348,22,467,840
1362,22,700,4000
1379,22,983,7000
1391,23,183,7000
1406,23,433,7000
1461,24,350,6000
1478,24,633,1300
1481,24,683,200
1500,25,0,35
1516,25,267,23
1534,25,567,16
1551,25,850,14
1602,26,700,15
1619,26,983,16
1636,27,267,19
1652,27,533,26
1669,27,817,32
1698,28,300,70
1704,28,400,300
1781,29,683,3200
1789,29,817,3400
1825,30,417,3000
1842,30,700,1700
1859,30,983,700
1876,31,267,130
1893,31,550,50
1909,31,817,40
1926,32,100,35
1960,32,667,43
1977,32,950,65
1995,33,250,130
2011,33,517,230
2028,33,800,340
2046,34,100,370
2063,34,383,240
2080,34,667,130
2097,34,950,75
2113,35,217,43
2130,35,500,26
2149,35,817,25
2166,36,100,21
2183,36,383,20
2200,36,667,19
2218,36,967,21
2313,38,550,2600
2353,39,217,3200
2372,39,533,3400
2380,39,667,3400
2415,40,250,3200
2427,40,450,3200
2429,40,483,3200
2440,40,667,3400
2448,40,800,3400
2484,41,400,3600
2487,41,450,3600
2560,42,667,3400
2594,43,233,3400
2600,43,333,3400
2628,43,800,3600
2638,43,967,3600
2677,44,617,3400
2694,44,900,3200
2712,45,200,3000
2753,45,883,3000
2794,46,567,3600
2800,46,667,3600
2813,46,883,3600
2819,46,983,3600
2826,47,100,3600
2828,47,133,3600
2833,47,217,3600
2835,47,250,3600
2845,47,417,3600
2857,47,617,3600
2870,47,833,4000
2877,47,950,4000
2883,48,50,4200
2925,48,750,3400
2938,48,967,3400
2968,49,467,3600
3002,50,33,3200
3019,50,317,2600
3036,50,600,2000
3053,50,883,1900
3070,51,167,2400
3087,51,450,3200
3121,52,17,1600
3175,52,917,3
3185,53,83,3200
3191,53,183,3600
3209,53,483,4000
3242,54,33,3600
3259,54,317,3200
3276,54,600,2700
3293,54,883,2400
3310,55,167,1800
3327,55,450,1400
3344,55,733,1000
3378,56,300,1200
3429,57,150,1400
3434,57,233,1400
3436,57,267,1400
3438,57,300,1400
3449,57,483,1600
3466,57,767,1800
3476,57,933,1800
3482,58,33,1900
3497,58,283,1900
3532,58,867,1800
3567,59,450,1700
3584,59,733,1600
3601,60,17,1500
3618,60,300,1400
3652,60,867,1500
3668,61,133,1600
3754,62,567,1700
3841,64,17,1500
3858,64,300,1200
3875,64,583,840
3892,64,867,560
3909,65,150,320
3926,65,433,200
3943,65,717,130
3959,65,983,120
3994,66,567,130
4011,66,850,180
4027,67,117,260
4044,67,400,400
4061,67,683,700
4078,67,967,1000
4091,68,183,1000
4115,68,583,1200
4119,68,650,1200
4121,68,683,1200
4125,68,750,1200
4128,68,800,1200
4130,68,833,1200
4139,68,983,1200
4161,69,350,1200
4178,69,633,1100
4186,69,767,1000
4202,70,33,900
4217,70,283,800
4234,70,567,640
4251,70,850,420
4267,71,117,260
4284,71,400,140
4302,71,700,53
4319,71,983,15
4336,72,267,11
4352,72,533,10
4370,72,833,9.3
4423,73,717,9.0
4440,74,0,7.6
4456,74,267,7.0
4473,74,550,5.7
4779,79,650,4.7
4782,79,700,6.0
4799,79,983,11
4815,80,250,16
4833,80,550,23
4849,80,817,26
4866,81,100,32
4883,81,383,40
4900,81,667,53
4917,81,950,150
4934,82,233,180
4968,82,800,57
4985,83,83,40
5003,83,383,35
5019,83,650,28
5037,83,950,20
5053,84,217,14
5073,84,550,11
5123,85,383,9.0
5273,87,883,4.4
5276,87,933,6.6
5293,88,217,7.0
5309,88,483,8.0
5327,88,783,9.0
5344,89,67,10
5397,89,950,17
5414,90,233,32
5435,90,583,57
5448,90,800,90
5465,91,83,110
5516,91,933,150
5533,92,217,200
5567,92,783,210
5584,93,67,230
5601,93,350,240
5618,93,633,200
5635,93,917,120
5652,94,200,65
5669,94,483,28
5686,94,767,11
5703,95,50,7.0
5722,95,367,6.0
5756,95,933,5.7
5773,96,217,5.0
5790,96,500,5.4
5807,96,783,6.6
5824,97,67,12
5841,97,350,26
5858,97,633,57
5875,97,917,100
5892,98,200,140
5909,98,483,200
5926,98,767,240
5943,99,50,300
5960,99,333,340
5969,99,483,340
5971,99,517,340
5977,99,617,400
5986,99,767,400
5999,99,983,520
6002,100,33,520
6005,100,83,520
6011,100,183,560
6064,101,67,600
6081,101,350,560
6115,101,917,520
6136,102,267,560
6148,102,467,520
6183,103,50,420
6200,103,333,370
6216,103,600,300
6234,103,900,210
6251,104,183,160
6268,104,467,120
6289,104,817,90
6301,105,17,53
6318,105,300,30
6335,105,583,20
6353,105,883,12
6372,106,200,8.0
6388,106,467,6.6
6406,106,767,6.0
6474,107,900,7.6
6491,108,183,12
6507,108,450,35
6524,108,733,70
6541,109,17,110
6558,109,300,160
6576,109,600,210
6592,109,867,260
6610,110,167,300
6678,111,300,320
6697,111,617,370
6747,112,450,340
6764,112,733,300
6781,113,17,280
6798,113,300,260
6839,113,983,280
6850,114,167,300
6866,114,433,320
6884,114,733,340
6901,115,17,370
6918,115,300,400
6951,115,850,420
7038,117,300,450
7056,117,600,500
7089,118,150,520
7157,119,283,560
7242,120,700,520
7277,121,283,560
7310,121,833,600
7327,122,117,560
7354,122,567,560
7380,123,0,520
7397,123,283,420
7414,123,567,370
7431,123,850,320
7448,124,133,240
7466,124,433,170
7482,124,700,110
7500,125,0,65
7516,125,267,40
7533,125,550,32
7567,126,117,35
7584,126,400,40
7601,126,683,53
7618,126,967,65
7635,127,250,100
7652,127,533,140
7671,127,850,210
7688,128,133,370
7705,128,417,560
7722,128,700,600
7790,129,833,560
7824,130,400,520
7841,130,683,500
7858,130,967,420
7875,131,250,400
7892,131,533,340
7909,131,817,300
7924,132,67,260
7942,132,367,230
7958,132,633,280
7960,132,667,200
7976,132,933,180
7995,133,250,210
8012,133,533,230
8026,133,767,230
8029,133,817,240
8080,134,667,230
8097,134,950,210
8113,135,217,200
8131,135,517,170
8148,135,800,150
8165,136,83,130
8182,136,367,110
8198,136,633,110
8216,136,933,75
8233,137,217,53
8250,137,500,37
8267,137,783,28
8283,138,50,25
8319,138,650,28
8337,138,950,35
8354,139,233,46
8371,139,517,57
8388,139,800,70
8405,140,83,86
8422,140,367,100
8439,140,650,110
8456,140,933,130
8473,141,217,140
8490,141,500,150
8523,142,50,160
8541,142,350,170
8574,142,900,180
8626,143,767,200
8679,144,650,180
8695,144,917,200
8764,146,67,210
8933,148,883,200
8970,149,500,180
9055,150,917,200
9088,151,467,180
9105,151,750,170
9122,152,33,150
9139,152,317,130
9156,152,600,110
9174,152,900,86
9191,153,183,65
9208,153,467,53
9225,153,750,50
9242,154,33,46
