meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
700;967.0000;1316.0225;349.0225;36.0933;0.4446;1.8804;6.754;-1896.106567;1655.193970;1184.403320;0.036098;-0.747584;-0.049035;-0.661370;949.9656;-17.0344;-1.7616;-0.0256;963.2552;-3.7448;-0.3873;-0.0056
837;1097.0000;1514.6255;417.6255;38.0698;0.4654;1.7585;7.010;-1780.999023;1641.403320;897.415344;0.044186;-0.667784;-0.027986;-0.742515;1144.8618;47.8618;4.3630;0.0616;1104.0529;7.0529;0.6429;0.0092
887;1597.0000;2240.2444;643.2444;40.2783;0.4883;1.4511;10.052;-1466.190308;1653.914673;837.671997;0.045954;-0.654830;-0.022181;-0.754052;1971.1238;374.1238;23.4267;0.3037;1663.6195;66.6195;4.1715;0.0590
921;1597.0000;3019.3516;1422.3516;89.0640;0.9189;1.2307;15.916;-1223.612183;1661.178711;730.496399;0.038071;-0.624177;-0.016525;-0.780180;2036.7672;439.7672;27.5371;0.3509;2184.8687;587.8687;36.8108;0.4522
945;-0.3000;3986.5522;3986.8523;398685184.0000;21.9267;1.0631;17.216;-1054.526123;1642.216553;739.244629;0.032352;-0.632330;-0.013205;-0.773911;3158.1782;3158.4783;315847808.0000;21.5907;2965.7729;2966.0730;296607264.0000;21.5000
992;5497.0000;7905.1182;2408.1182;43.8079;0.5241;0.7646;15.282;-773.130920;1633.304810;850.047180;0.015668;-0.655640;-0.002589;-0.754907;5262.4121;-234.5879;-4.2676;-0.0629;5655.4287;158.4287;2.8821;0.0410
1012;5497.0000;10102.7852;4605.7852;83.7872;0.8780;0.6817;13.979;-695.753113;1625.338745;885.514709;0.012762;-0.656022;0.006775;-0.754603;7517.6431;2020.6431;36.7590;0.4516;7157.1597;1660.1597;30.2012;0.3807
1038;9597.0000;14130.0312;4533.0312;47.2338;0.5581;0.5786;12.268;-598.165833;1620.704712;931.875549;0.006135;-0.687432;0.007409;-0.726185;14693.2227;5096.2227;53.1022;0.6145;10330.0215;733.0215;7.6380;0.1062
1078;6297.0000;8564.3613;2267.3613;36.0070;0.4437;0.7378;15.140;-738.037292;1611.565308;1189.523682;0.007540;-0.771653;0.010250;-0.635917;5294.2065;-1002.7935;-15.9249;-0.2503;6066.5664;-230.4336;-3.6594;-0.0538
1090;6297.0000;6637.0830;340.0830;5.4007;0.0759;0.7889;20.488;-762.658203;1615.508789;1278.706909;0.007144;-0.790940;-0.003508;-0.611842;4619.8936;-1677.1064;-26.6334;-0.4468;4902.7974;-1394.2026;-22.1407;-0.3611
1119;1697.0000;1810.9884;113.9884;6.7171;0.0938;0.8768;32.778;-755.246765;1608.278687;1485.440796;0.040517;-0.837826;0.009770;-0.544344;1200.8309;-496.1691;-29.2380;-0.4990;1371.2654;-325.7346;-19.1947;-0.3075
1171;50.0000;35.6029;-14.3971;-28.7941;-0.4899;1.1410;43.169;-842.077026;1605.409424;1796.698120;0.007606;-0.884246;-0.017050;-0.466648;24.6676;-25.3324;-50.6648;-1.0193;43.4579;-6.5421;-13.0841;-0.2023
1217;57.0000;75.5814;18.5814;32.5989;0.4071;1.3239;40.835;-1007.966003;1569.520874;1888.986084;0.035772;-0.877044;-0.009454;-0.478983;78.7660;21.7660;38.1860;0.4666;74.4233;17.4233;30.5673;0.3848
1261;137.0000;215.0112;78.0112;56.9425;0.6502;1.5950;37.177;-1273.940186;1547.870605;1994.950073;0.038391;-0.874766;-0.020093;-0.482605;130.1449;-6.8551;-5.0037;-0.0741;155.7872;18.7872;13.7133;0.1854
1299;207.0000;342.4098;135.4098;65.4154;0.7261;1.8419;33.813;-1531.935669;1549.130493;2062.354248;0.044359;-0.853529;-0.041660;-0.517479;238.0299;31.0299;14.9903;0.2015;264.8928;57.8928;27.9675;0.3558
1342;317.0000;503.1311;186.1311;58.7164;0.6665;2.1061;29.643;-1831.092651;1532.604126;2087.140381;0.029008;-0.843228;-0.005373;-0.536746;321.1360;4.1360;1.3047;0.0187;375.1983;58.1983;18.3591;0.2432
1391;337.0000;470.3744;133.3744;39.5770;0.4811;2.3934;27.365;-2124.844238;1533.671875;2152.768311;0.010732;-0.787838;-0.025497;-0.615261;346.3502;9.3502;2.7745;0.0395;353.6306;16.6306;4.9349;0.0695
1413;337.0000;437.7716;100.7716;29.9026;0.3774;2.5603;26.799;-2283.108398;1530.887939;2210.979492;0.044509;-0.818278;-0.064157;-0.569495;323.8819;-13.1181;-3.8926;-0.0573;328.0046;-8.9954;-2.6692;-0.0390
1435;277.0000;387.9282;110.9282;40.0463;0.4859;2.6906;27.099;-2390.705078;1517.253052;2285.732422;0.035772;-0.822528;-0.049581;-0.565429;287.9500;10.9500;3.9531;0.0559;291.5060;14.5060;5.2368;0.0736
1437;277.0000;386.1473;109.1473;39.4034;0.4793;2.6993;27.080;-2398.762207;1515.841919;2289.171143;0.042334;-0.824182;-0.048705;-0.562636;286.7509;9.7509;3.5202;0.0499;290.1564;13.1564;4.7496;0.0669
1486;237.0000;316.3242;79.3242;33.4701;0.4165;2.8106;28.536;-2461.323486;1509.171387;2404.946045;-0.000829;-0.862105;-0.080473;-0.500298;254.4366;17.4366;7.3572;0.1024;235.1978;-1.8022;-0.7604;-0.0110
1539;227.0000;306.2777;79.2777;34.9241;0.4321;2.6816;29.117;-2336.322021;1521.494995;2363.552490;-0.031009;-0.757030;-0.039314;-0.651459;258.0147;31.0147;13.6629;0.1848;226.0719;-0.9281;-0.4089;-0.0059
1575;337.0000;468.9126;131.9126;39.1432;0.4766;2.5436;25.489;-2296.581299;1561.625488;2149.183838;-0.018488;-0.736949;-0.017071;-0.675480;341.2242;4.2242;1.2535;0.0180;345.7100;8.7100;2.5846;0.0368
1601;557.0000;722.4845;165.4845;29.7100;0.3753;2.3977;19.922;-2262.313477;1567.150879;1868.691895;-0.020594;-0.757972;-0.005982;-0.651934;488.3102;-68.6898;-12.3321;-0.1899;540.2167;-16.7833;-3.0132;-0.0441
1627;697.0000;890.1385;193.1385;27.7100;0.3529;2.3081;12.829;-2266.271973;1559.297241;1561.974731;-0.013649;-0.749913;0.029279;-0.660748;868.0325;171.0325;24.5384;0.3166;644.9202;-52.0798;-7.4720;-0.1120
1666;797.0000;1000.7287;203.7287;25.5619;0.3284;2.1621;3.532;-2183.812012;1551.912231;1160.903687;-0.003752;-0.768663;0.045789;-0.638002;497.9849;-299.0151;-37.5176;-0.6785;733.4099;-63.5901;-7.9787;-0.1200
1705;737.0000;1002.4186;265.4186;36.0134;0.4437;2.1711;6.423;-2192.268311;1559.866821;829.902771;0.021380;-0.707717;0.045652;-0.704696;758.3238;21.3238;2.8933;0.0411;726.2674;-10.7326;-1.4563;-0.0212
1776;697.0000;866.8561;169.8561;24.3696;0.3146;2.2015;20.370;-2112.880127;1569.644287;293.161346;0.035233;-0.644541;0.031456;-0.763109;372.9788;-324.0212;-46.4880;-0.9021;638.4424;-58.5576;-8.4014;-0.1266
1793;597.0000;709.3507;112.3507;18.8192;0.2488;2.2573;23.852;-2117.177979;1562.186646;144.966644;0.012794;-0.620443;0.027391;-0.783669;496.2235;-100.7765;-16.8805;-0.2667;515.2649;-81.7351;-13.6910;-0.2124
1810;417.0000;537.7753;120.7753;28.9629;0.3670;2.3087;27.004;-2113.220947;1564.516357;8.976234;0.002414;-0.596386;0.040543;-0.801670;410.1350;-6.8650;-1.6463;-0.0239;417.8176;0.8176;0.1961;0.0028
1827;337.0000;403.8428;66.8428;19.8347;0.2610;2.2952;29.855;-2048.873779;1553.290161;-88.325317;0.027509;-0.579575;0.069688;-0.811468;104.5029;-232.4971;-68.9902;-1.6892;342.6427;5.6427;1.6744;0.0240
1844;277.0000;313.3103;36.3103;13.1084;0.1777;2.2092;32.297;-1926.573486;1551.315552;-129.844208;0.030634;-0.563994;0.068332;-0.822377;80.2026;-196.7974;-71.0460;-1.7882;261.9966;-15.0034;-5.4164;-0.0803
1860;207.0000;212.8319;5.8319;2.8173;0.0401;2.1169;34.673;-1800.742554;1550.914551;-157.402573;0.035803;-0.544792;0.082206;-0.833764;175.8734;-31.1266;-15.0370;-0.2351;187.5933;-19.4067;-9.3752;-0.1420
1878;127.0000;113.6162;-13.3838;-10.5384;-0.1607;2.0257;37.505;-1667.213623;1542.494629;-190.585449;0.036350;-0.525810;0.079288;-0.846118;306.1684;179.1684;141.0775;1.2695;113.9719;-13.0281;-10.2583;-0.1561
1896;62.0000;25.3487;-36.6513;-59.1150;-1.2904;1.9333;41.254;-1514.980469;1552.403687;-235.904922;0.017140;-0.522308;0.070050;-0.849702;140.6103;78.6103;126.7908;1.1814;41.1624;-20.8376;-33.6091;-0.5909
1911;34.0000;7.1789;-26.8211;-78.8855;-2.2437;1.8576;44.228;-1394.668457;1594.963501;-257.747528;0.006815;-0.520806;0.074843;-0.850361;28.6435;-5.3565;-15.7545;-0.2473;14.5915;-19.4085;-57.0837;-1.2204
1979;32.0000;9.1190;-22.8810;-71.5031;-1.8111;1.5170;44.726;-1143.672852;1857.452271;18.578295;0.027253;-0.542521;0.088024;-0.834973;13.3589;-18.6411;-58.2534;-1.2603;17.7281;-14.2719;-44.5996;-0.8520
1996;40.0000;15.5198;-24.4802;-61.2006;-1.3659;1.4694;43.309;-1134.763428;1906.293213;100.912476;0.011582;-0.552665;0.080558;-0.829420;25.8034;-14.1966;-35.4915;-0.6324;29.3412;-10.6588;-26.6471;-0.4471
2014;77.0000;49.0303;-27.9697;-36.3243;-0.6512;1.4370;41.022;-1148.572998;1935.336914;186.468994;0.004917;-0.583901;0.088074;-0.807018;229.4192;152.4192;197.9471;1.5751;75.8091;-1.1909;-1.5467;-0.0225
2030;227.0000;208.8693;-18.1307;-7.9871;-0.1201;1.4260;37.610;-1192.294189;1953.121094;281.472168;0.008560;-0.609926;0.111586;-0.784516;409.2117;182.2117;80.2695;0.8502;210.8010;-16.1990;-7.1361;-0.1068
2048;517.0000;503.2068;-13.7932;-2.6679;-0.0390;1.4360;34.071;-1250.427124;1973.652954;376.448578;0.014860;-0.633167;0.119457;-0.764597;384.6908;-132.3092;-25.5917;-0.4265;450.8822;-66.1178;-12.7887;-0.1974
2067;797.0000;920.7336;123.7336;15.5249;0.2082;1.4212;30.527;-1282.313599;1963.290161;474.316681;0.040496;-0.660825;0.139943;-0.736265;1180.5850;383.5850;48.1286;0.5669;820.9568;23.9568;3.0059;0.0427
2084;1197.0000;1401.3506;204.3506;17.0719;0.2274;1.3716;27.511;-1271.291138;1949.026001;579.637085;0.071458;-0.671509;0.166809;-0.718431;1157.7330;-39.2670;-3.2804;-0.0481;1111.6573;-85.3427;-7.1297;-0.1067
2101;1497.0000;1923.8809;426.8809;28.5158;0.3619;1.3231;24.541;-1255.071289;1947.919922;705.257019;0.083130;-0.668798;0.176327;-0.717431;1537.0442;40.0442;2.6750;0.0381;1436.9650;-60.0350;-4.0104;-0.0590
2115;1497.0000;2216.0693;719.0693;48.0340;0.5659;1.3030;22.375;-1253.691284;1948.781616;808.814575;0.079948;-0.681737;0.164570;-0.708350;1671.6252;174.6252;11.6650;0.1592;1630.3334;133.3334;8.9067;0.1231
2118;1697.0000;2261.9885;564.9885;33.2934;0.4146;1.3036;21.893;-1257.730103;1947.940674;830.622375;0.081962;-0.687702;0.162193;-0.702881;1400.6886;-296.3114;-17.4609;-0.2769;1659.2352;-37.7648;-2.2254;-0.0325
2152;1597.0000;2048.0544;451.0544;28.2439;0.3589;1.4247;19.468;-1384.886475;1968.268555;1114.936157;0.088058;-0.783345;0.125817;-0.602317;1455.8745;-141.1255;-8.8369;-0.1335;1560.2816;-36.7184;-2.2992;-0.0336
2168;1497.0000;1905.1750;408.1750;27.2662;0.3478;1.4526;20.672;-1397.647827;1970.838745;1237.516357;0.083575;-0.799189;0.113948;-0.584232;1828.2036;331.2036;22.1245;0.2884;1407.4753;-89.5247;-5.9803;-0.0890
2185;1397.0000;1797.2736;400.2736;28.6524;0.3635;1.4556;22.009;-1384.065918;1943.402710;1352.607300;0.112101;-0.813848;0.113658;-0.558719;957.4373;-439.5627;-31.4648;-0.5451;1307.9677;-89.0323;-6.3731;-0.0950
2202;1297.0000;1657.8843;360.8843;27.8245;0.3542;1.4530;23.978;-1358.362183;1913.794189;1456.291992;0.141148;-0.789878;0.155206;-0.576265;1230.5288;-66.4712;-5.1250;-0.0759;1222.3898;-74.6102;-5.7525;-0.0855
2219;1097.0000;1515.6136;418.6136;38.1599;0.4663;1.4556;25.358;-1342.723755;1876.363159;1531.809082;0.183532;-0.770466;0.182453;-0.582588;1100.3513;3.3513;0.3055;0.0044;1134.3671;37.3671;3.4063;0.0483
2231;1097.0000;1491.0194;394.0194;35.9179;0.4427;1.4752;25.279;-1358.928467;1836.770752;1567.053711;0.244322;-0.752240;0.241684;-0.562166;1115.0176;18.0176;1.6424;0.0235;1112.3567;15.3567;1.3999;0.0201
2254;1197.0000;1547.6681;350.6681;29.2956;0.3707;1.4683;24.003;-1363.046265;1753.100342;1575.573364;0.347438;-0.634242;0.425195;-0.544274;1088.7308;-108.2692;-9.0450;-0.1368;1130.1443;-66.8557;-5.5853;-0.0829
2270;1397.0000;1756.5962;359.5962;25.7406;0.3305;1.4504;21.958;-1366.005615;1703.293945;1537.336914;0.412911;-0.583525;0.449172;-0.535955;1061.6488;-335.3512;-24.0051;-0.3960;1263.8987;-133.1013;-9.5277;-0.1445
2275;1397.0000;1837.4714;440.4714;31.5298;0.3954;1.4500;21.165;-1372.168457;1673.266479;1528.654175;0.400085;-0.604473;0.444264;-0.526474;1279.3506;-117.6494;-8.4216;-0.1269;1335.7283;-61.2717;-4.3860;-0.0647
2305;1197.0000;1581.3973;384.3973;32.1134;0.4018;1.5228;21.798;-1423.769287;1448.469849;1599.225952;0.418470;-0.608648;0.482357;-0.470916;1008.1528;-188.8472;-15.7767;-0.2477;1130.9281;-66.0719;-5.5198;-0.0819
2321;997.0000;1363.7025;366.7025;36.7806;0.4519;1.5750;23.207;-1452.542725;1344.007568;1638.206055;0.447279;-0.601384;0.494810;-0.439821;1015.8724;18.8724;1.8929;0.0271;971.8253;-25.1747;-2.5250;-0.0369
2338;967.0000;1224.3661;257.3661;26.6149;0.3404;1.6285;23.700;-1492.629517;1254.081787;1646.222778;0.457058;-0.582968;0.503939;-0.444175;861.1166;-105.8834;-10.9497;-0.1673;872.2822;-94.7178;-9.7950;-0.1487
2355;837.0000;1086.5753;249.5753;29.8178;0.3765;1.6775;24.473;-1524.173828;1133.725952;1632.760498;0.490026;-0.553023;0.525681;-0.421543;775.6143;-61.3857;-7.3340;-0.1099;778.4141;-58.5859;-6.9995;-0.1047
2391;897.0000;1132.7764;235.7764;26.2850;0.3367;1.7641;22.683;-1623.259155;989.243591;1501.137939;0.545905;-0.523509;0.509553;-0.410222;789.0045;-107.9955;-12.0396;-0.1851;796.1440;-100.8560;-11.2437;-0.1721
2407;967.0000;1250.6921;283.6921;29.3373;0.3711;1.7663;21.421;-1641.220825;984.512878;1442.558716;0.570489;-0.502789;0.477083;-0.440610;887.0146;-79.9854;-8.2715;-0.1246;890.0134;-76.9866;-7.9614;-0.1197
2457;967.0000;1316.8101;349.8101;36.1748;0.4455;1.7026;22.680;-1568.447876;874.047729;1259.510986;0.604631;-0.460722;0.441102;-0.477060;886.9736;-80.0264;-8.2757;-0.1246;917.8906;-49.1094;-5.0785;-0.0752
2476;897.0000;1280.7094;383.7094;42.7770;0.5138;1.6952;23.686;-1551.235596;818.412109;1129.910889;0.623992;-0.428871;0.423555;-0.497298;904.4193;7.4193;0.8271;0.0119;888.3630;-8.6370;-0.9629;-0.0140
2510;797.0000;1016.2255;219.2255;27.5063;0.3506;1.7001;26.689;-1520.627197;741.640320;911.242798;0.568393;-0.418504;0.465883;-0.533608;725.8561;-71.1439;-8.9265;-0.1349;734.9521;-62.0479;-7.7852;-0.1169
2527;557.0000;721.1265;164.1265;29.4662;0.3726;1.6759;30.048;-1452.569946;686.349121;820.221985;0.549105;-0.416005;0.502620;-0.522300;143.3297;-413.6703;-74.2676;-1.9583;540.4078;-16.5922;-2.9788;-0.0436
2544;367.0000;483.4737;116.4737;31.7367;0.3977;1.6681;32.729;-1406.155518;650.597046;729.177002;0.547241;-0.396975;0.508603;-0.533161;365.3486;-1.6514;-0.4500;-0.0065;366.5837;-0.4163;-0.1134;-0.0016
2561;277.0000;346.7513;69.7513;25.1810;0.3240;1.6719;34.542;-1382.231079;641.285156;632.763550;0.525433;-0.365111;0.527041;-0.559323;216.6397;-60.3603;-21.7907;-0.3546;265.0145;-11.9855;-4.3269;-0.0638
2578;207.0000;236.7111;29.7111;14.3532;0.1935;1.6821;36.124;-1366.944458;651.251953;522.286011;0.485293;-0.368538;0.541160;-0.579496;159.9454;-47.0546;-22.7317;-0.3721;186.3685;-20.6315;-9.9669;-0.1515
2595;157.0000;157.1190;0.1190;0.0758;0.0011;1.6327;37.871;-1299.571899;677.494873;464.091248;0.438215;-0.354835;0.511963;-0.648038;134.0273;-22.9727;-14.6323;-0.2282;142.6808;-14.3192;-9.1205;-0.1380
2612;83.0000;64.8010;-18.1990;-21.9265;-0.3571;1.6219;40.061;-1252.780396;662.880371;414.120575;0.362336;-0.388323;0.459207;-0.712072;31.3155;-51.6845;-62.2705;-1.4062;70.7871;-12.2129;-14.7144;-0.2296
2628;43.0000;21.0991;-21.9009;-50.9324;-1.0272;1.6489;42.296;-1231.357788;627.413269;352.406738;0.333051;-0.367861;0.428612;-0.755015;20.7496;-22.2504;-51.7452;-1.0513;29.5702;-13.4298;-31.2322;-0.5402
2646;32.0000;7.5134;-24.4866;-76.5207;-2.0905;1.6858;44.607;-1213.468994;607.091553;260.299988;0.312530;-0.353650;0.438474;-0.764851;17.7873;-14.2127;-44.4148;-0.8472;13.6483;-18.3517;-57.3489;-1.2293
2663;29.0000;5.2342;-23.7658;-81.9512;-2.4700;1.6893;46.414;-1180.691406;624.903381;181.887009;0.316741;-0.362326;0.446414;-0.754394;15.1717;-13.8283;-47.6837;-0.9347;8.8806;-20.1194;-69.3773;-1.7073
2680;27.0000;5.5892;-21.4108;-79.2993;-2.2722;1.6476;46.502;-1154.171021;707.463928;141.735138;0.341093;-0.371759;0.438426;-0.743797;15.6126;-11.3874;-42.1757;-0.7903;9.5248;-17.4752;-64.7229;-1.5032
2696;27.0000;8.7939;-18.2061;-67.4300;-1.6184;1.5912;44.580;-1157.606079;823.838501;146.392059;0.331258;-0.380389;0.444323;-0.740371;21.0097;-5.9903;-22.1864;-0.3619;16.2737;-10.7263;-39.7269;-0.7304
2716;83.0000;70.7545;-12.2455;-14.7536;-0.2303;1.5171;40.248;-1187.488281;998.336426;191.918182;0.298751;-0.424917;0.434975;-0.735520;86.1024;3.1024;3.7378;0.0529;82.5137;-0.4863;-0.5859;-0.0085
2733;337.0000;369.6483;32.6483;9.6879;0.1334;1.4611;35.571;-1221.281128;1136.144531;265.214417;0.303246;-0.424868;0.438069;-0.731863;192.4438;-144.5562;-42.8950;-0.8083;307.7195;-29.2805;-8.6886;-0.1311
2767;1397.0000;1850.6047;453.6047;32.4699;0.4057;1.4057;23.804;-1320.200562;1328.728638;492.865997;0.323958;-0.490557;0.415533;-0.694073;1299.7054;-97.2946;-6.9645;-0.1041;1328.5165;-68.4835;-4.9022;-0.0725
2784;1497.0000;2069.7063;572.7063;38.2569;0.4674;1.4549;19.175;-1409.352417;1405.853027;566.573425;0.327114;-0.527125;0.409027;-0.669203;2360.5840;863.5840;57.6876;0.6571;1558.8188;61.8188;4.1295;0.0584
2801;1397.0000;1919.1753;522.1753;37.3783;0.4582;1.5580;15.762;-1535.204712;1454.855225;617.163635;0.337411;-0.523859;0.404810;-0.669219;1384.6219;-12.3781;-0.8860;-0.0128;1378.7654;-18.2346;-1.3053;-0.0190
2818;1297.0000;1714.4490;417.4490;32.1857;0.4026;1.6629;13.759;-1650.999878;1472.659058;646.400391;0.340959;-0.531229;0.397236;-0.666143;1284.0953;-12.9047;-0.9950;-0.0144;1230.9357;-66.0643;-5.0936;-0.0754
2835;1097.0000;1474.5560;377.5560;34.4171;0.4267;1.7940;12.789;-1785.192261;1466.913940;648.332825;0.370770;-0.557368;0.391578;-0.631298;658.6124;-438.3876;-39.9624;-0.7361;1071.9939;-25.0061;-2.2795;-0.0333
2852;897.0000;1190.2758;293.2758;32.6952;0.4081;1.9657;14.018;-1943.899414;1440.064087;574.635620;0.386519;-0.596801;0.391831;-0.583867;1126.6409;229.6409;25.6010;0.3288;852.0984;-44.9016;-5.0057;-0.0741
2869;797.0000;1020.4479;223.4479;28.0361;0.3566;2.1095;16.387;-2062.870605;1418.418579;459.761108;0.357896;-0.573855;0.409454;-0.612330;746.2401;-50.7599;-6.3689;-0.0949;739.0934;-57.9066;-7.2656;-0.1088
2886;697.0000;884.3166;187.3166;26.8747;0.3434;2.1979;19.017;-2120.040039;1415.656494;339.805542;0.324997;-0.590883;0.416007;-0.610059;1174.4138;477.4138;68.4955;0.7527;669.3543;-27.6457;-3.9664;-0.0584
2903;597.0000;785.5453;188.5453;31.5821;0.3960;2.2725;20.676;-2171.071289;1429.987549;253.653564;0.346458;-0.584455;0.399522;-0.615436;386.1187;-210.8813;-35.3235;-0.6287;574.1974;-22.8026;-3.8195;-0.0562
2920;517.0000;660.7723;143.7723;27.8090;0.3540;2.3755;22.275;-2245.959717;1435.127930;157.050201;0.367957;-0.582482;0.426192;-0.586244;552.6446;35.6446;6.8945;0.0962;478.1844;-38.8156;-7.5079;-0.1126
2937;447.0000;575.8527;128.8527;28.8261;0.3654;2.4480;23.695;-2293.158203;1477.381226;74.345032;0.366688;-0.593756;0.386445;-0.603037;409.5050;-37.4950;-8.3881;-0.1264;417.3276;-29.6724;-6.6381;-0.0991
2954;397.0000;536.8969;139.8969;35.2385;0.4355;2.5017;24.373;-2333.439209;1529.036743;28.616953;0.334835;-0.597865;0.336150;-0.646101;361.7943;-35.2057;-8.8679;-0.1340;390.9189;-6.0811;-1.5318;-0.0223
