frame,seconds,milliseconds,value
700,11,667,970
837,13,950,1100
887,14,783,1600
921,15,350,1600
945,15,750,2.700
992,16,533,5500
1012,16,867,5500
1038,17,300,9600
1078,17,967,6300
1090,18,167,6300
1119,18,650,1700
1171,19,517,53
1217,20,283,60
1261,21,17,140
1299,21,650,210
1342,22,367,320
1391,23,183,340
1413,23,550,340
1435,23,917,280
1437,23,950,280
1486,24,767,240
1539,25,650,230
1575,26,250,340
1601,26,683,560
1627,27,117,700
1666,27,767,800
1705,28,417,740
1776,29,600,700
1793,29,883,600
1810,30,167,420
1827,30,450,340
1844,30,733,280
1860,31,0,210
1878,31,300,130
1896,31,600,65
1911,31,850,37
1979,32,983,35
1996,33,267,43
2014,33,567,80
2030,33,833,230
2048,34,133,520
2067,34,450,800
2084,34,733,1200
2101,35,17,1500
2115,35,250,1500
2118,35,300,1700
2152,35,867,1600
2168,36,133,1500
2185,36,417,1400
2202,36,700,1300
2219,36,983,1100
2231,37,183,1100
2254,37,567,1200
2270,37,833,1400
2275,37,917,1400
2305,38,417,1200
2321,38,683,1000
2338,38,967,970
2355,39,250,840
2391,39,850,900
2407,40,117,970
2457,40,950,970
2476,41,267,900
2510,41,833,800
2527,42,117,560
2544,42,400,370
2561,42,683,280
2578,42,967,210
2595,43,250,160
2612,43,533,86
2628,43,800,46
2646,44,100,35
2663,44,383,32
2680,44,667,30
2696,44,933,30
2716,45,267,86
2733,45,550,340
2767,46,117,1400
2784,46,400,1500
2801,46,683,1400
2818,46,967,1300
2835,47,250,1100
2852,47,533,900
2869,47,817,800
2886,48,100,700
2903,48,383,600
2920,48,667,520
2937,48,950,450
2954,49,233,400
2971,49,517,370
3005,50,83,340
3109,51,817,370
3160,52,667,400
3193,53,217,420
3211,53,517,450
3227,53,783,420
3262,54,367,370
3279,54,650,320
3296,54,933,300
3313,55,217,320
3330,55,500,370
3347,55,783,500
3366,56,100,600
3416,56,933,640
3423,57,50,640
3466,57,767,640
3468,57,800,600
3484,58,67,520
3502,58,367,500
3518,58,633,370
3535,58,917,320
3552,59,200,260
3569,59,483,210
3586,59,767,170
3603,60,50,150
3619,60,317,150
3637,60,617,110
3655,60,917,86
3671,61,183,70
3707,61,783,110
3724,62,67,320
3741,62,350,640
3775,62,917,1000
3843,64,50,970
3860,64,333,900
3877,64,617,840
3880,64,667,840
3891,64,850,840
3894,64,900,740
3911,65,183,800
3916,65,267,800
3928,65,467,840
3945,65,750,900
4032,67,200,840
4067,67,783,600
4084,68,67,370
4101,68,350,230
4118,68,633,110
4134,68,900,57
4152,69,200,35
4169,69,483,28
4201,70,17,28
4219,70,317,53
4237,70,617,520
4254,70,900,1400
4271,71,183,1800
4287,71,450,1300
4304,71,733,1800
4316,71,933,1800
4321,72,17,1700
4341,72,350,1500
4374,72,900,1400
4390,73,167,1400
4408,73,467,740
4425,73,750,500
4442,74,33,400
4475,74,583,300
4492,74,867,320
4496,74,933,320
4509,75,150,520
4527,75,450,740
4544,75,733,900
4561,76,17,1300
4563,76,50,1300
4578,76,300,1700
4584,76,400,1700
4595,76,583,1900
4628,77,133,1700
4633,77,217,1700
4647,77,450,1600
4651,77,517,1600
4665,77,750,1100
4682,78,33,560
4698,78,300,260
4715,78,583,170
4733,78,883,180
4766,79,433,170
4783,79,717,230
4800,80,0,520
4817,80,283,840
4834,80,567,970
4853,80,883,1100
4903,81,717,1000
4921,82,17,800
4937,82,283,450
4954,82,567,240
4971,82,850,200
4989,83,150,200
4992,83,200,230
5007,83,450,500
5024,83,733,740
5041,84,17,800
5052,84,200,800
5075,84,583,640
5092,84,867,500
5108,85,133,320
5126,85,433,160
5142,85,700,65
5159,85,983,32
5176,86,267,26
5193,86,550,40
5210,86,833,130
5227,87,117,260
5244,87,400,340
5261,87,683,370
5365,89,417,340
5399,89,983,320
5432,90,533,370
5450,90,833,400
5484,91,400,420
5518,91,967,400
5535,92,250,420
5552,92,533,500
5657,94,283,450
5691,94,850,520
5708,95,133,560
5711,95,183,560
5719,95,317,560
5727,95,450,640
5748,95,800,640
