Format Version,1.23,Take Name,1 Lampe weißer  Raum 60_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 06.41.11.451,Capture Start Frame,3069013,Total Frames in Take,20882,Total Exported Frames,20882,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.042823,-0.844077,0.491497,0.210074,-4015.691754,1027.065472,-2910.225369,0.015914,-0.697663,0.010175,0.716177,-27.789584,1550.380842,999.297897
1,0.008000,-0.042295,-0.844173,0.491320,0.210209,-4015.781864,1027.086192,-2910.243113,0.015924,-0.697694,0.010165,0.716147,-27.799240,1550.380065,999.293883
2,0.017000,-0.041907,-0.844022,0.491510,0.210449,-4015.905913,1027.005418,-2910.278209,0.015974,-0.697625,0.010206,0.716212,-27.779199,1550.367075,999.306927
3,0.025000,-0.041826,-0.843976,0.491553,0.210548,-4015.968847,1027.028910,-2910.347837,0.015943,-0.697651,0.010208,0.716188,-27.795206,1550.372860,999.308611
4,0.033000,-0.041590,-0.843969,0.491570,0.210583,-4016.017105,1027.046486,-2910.407164,0.015873,-0.697625,0.010163,0.716215,-27.793384,1550.379392,999.310013
5,0.042000,-0.041749,-0.843952,0.491659,0.210411,-4016.007782,1027.080329,-2910.526882,0.015894,-0.697642,0.010135,0.716198,-27.795614,1550.371071,999.309840
6,0.050000,-0.041924,-0.843898,0.491846,0.210157,-4015.964884,1027.097522,-2910.649434,0.015909,-0.697663,0.010153,0.716177,-27.793751,1550.362314,999.309684
7,0.058000,-0.042072,-0.843867,0.491998,0.209898,-4015.905920,1027.122276,-2910.753735,0.015916,-0.697656,0.010171,0.716184,-27.795871,1550.361460,999.309289
8,0.067000,-0.042208,-0.843820,0.492163,0.209671,-4015.844764,1027.158747,-2910.861358,0.015903,-0.697676,0.010168,0.716165,-27.794829,1550.375785,999.301132
9,0.075000,-0.042323,-0.843879,0.492210,0.209299,-4015.763890,1027.193731,-2910.989849,0.015951,-0.697657,0.010210,0.716182,-27.794865,1550.353863,999.309713
10,0.083000,-0.042442,-0.843831,0.492314,0.209223,-4015.694239,1027.251103,-2911.063528,0.015907,-0.697609,0.010179,0.716230,-27.789656,1550.364385,999.317069
11,0.092000,-0.042321,-0.843883,0.492358,0.208935,-4015.645083,1027.263991,-2911.169750,0.015957,-0.697640,0.010199,0.716198,-27.797529,1550.348415,999.318736
