meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
476;697.0000;976.7197;279.7197;40.1319;0.4868;2.8783;25.445;-2662.564453;1581.596558;-160.840012;0.043940;0.546420;0.007967;0.836320;573.3876;-123.6124;-17.7349;-0.2816;723.0287;26.0287;3.7344;0.0529
559;967.0000;1347.8278;380.8278;39.3824;0.4790;2.5180;25.999;-2325.643555;1657.842896;-26.658554;-0.025205;0.642249;0.057477;0.763923;1099.4608;132.4608;13.6981;0.1852;1015.6252;48.6252;5.0285;0.0708
599;967.0000;1490.8329;523.8329;54.1709;0.6245;2.3849;26.697;-2191.834717;1646.268555;-0.288627;-0.033445;0.651417;0.051686;0.756218;1205.5321;238.5321;24.6672;0.3181;1117.3947;150.3947;15.5527;0.2086
622;1097.0000;1589.8545;492.8545;44.9275;0.5353;2.3814;23.513;-2241.511963;1644.725342;124.487648;-0.048626;0.676016;0.064665;0.732432;1185.7175;88.7175;8.0873;0.1122;1138.9702;41.9702;3.8259;0.0542
677;1297.0000;1782.2615;485.2615;37.4141;0.4585;2.2873;16.405;-2243.200928;1627.623657;432.310608;-0.048046;0.703425;0.066630;0.706006;1246.6542;-50.3458;-3.8817;-0.0571;1303.8041;6.8041;0.5246;0.0075
723;1497.0000;1990.0233;493.0233;32.9341;0.4107;2.1130;10.068;-2122.129150;1644.724121;728.790466;-0.049009;0.717123;0.065016;0.692175;1600.3065;103.3065;6.9009;0.0963;1475.3447;-21.6553;-1.4466;-0.0210
788;1297.0000;1735.0657;438.0657;33.7753;0.4198;2.1891;4.747;-2214.582031;1648.364502;1064.806885;-0.039139;0.789383;0.080603;0.607327;1280.3375;-16.6625;-1.2847;-0.0187;1255.7665;-41.2335;-3.1791;-0.0466
830;1397.0000;1808.1547;411.1547;29.4313;0.3722;2.0775;7.253;-2088.762939;1645.958862;1250.449341;-0.046228;0.791001;0.074722;0.605473;1328.6471;-68.3529;-4.8928;-0.0724;1342.0966;-54.9034;-3.9301;-0.0578
870;1197.0000;1558.4747;361.4747;30.1984;0.3807;2.1149;14.114;-2071.898193;1659.211060;1534.520508;-0.057757;0.816974;0.071632;0.569287;1160.7644;-36.2356;-3.0272;-0.0443;1112.1492;-84.8508;-7.0886;-0.1061
921;997.0000;1257.9657;260.9657;26.1751;0.3354;2.0316;21.265;-1907.814453;1658.232300;1764.078369;-0.039707;0.840743;0.115147;0.527556;837.6729;-159.3271;-15.9807;-0.2512;925.0297;-71.9703;-7.2187;-0.1081
970;597.0000;674.8689;77.8689;13.0434;0.1769;2.0426;29.056;-1792.370605;1642.266357;2025.615601;-0.017586;0.869271;0.095236;0.484756;549.5327;-47.4673;-7.9510;-0.1195;504.7028;-92.2972;-15.4602;-0.2423
