frame,seconds,milliseconds,value
476,7,933,700
559,9,317,970
599,9,983,970
622,10,367,1100
677,11,283,1300
723,12,50,1500
788,13,133,1300
830,13,833,1400
870,14,500,1200
921,15,350,1000
970,16,167,600
1010,16,833,180
1044,17,400,20
1089,18,150,11
1166,19,433,6.6
1216,20,267,8.0
1257,20,950,11
1291,21,517,21
1332,22,200,320
1369,22,817,840
1403,23,383,1300
1439,23,983,1500
1472,24,533,1600
1507,25,117,1600
1533,25,550,1500
1590,26,500,1300
1621,27,17,970
1623,27,50,970
1645,27,417,740
1649,27,483,740
1671,27,850,500
1704,28,400,180
1736,28,933,37
1747,29,117,37
1784,29,733,16
1869,31,150,17
1943,32,383,21
1985,33,83,25
2020,33,667,80
2056,34,267,640
2090,34,833,1100
2096,34,933,1100
2100,35,0,1100
2123,35,383,1400
2134,35,567,1400
2157,35,950,1600
2169,36,150,1600
2192,36,533,1500
2224,37,67,1400
2250,37,500,1100
2283,38,50,700
2323,38,717,300
2360,39,333,86
2403,40,50,15
2448,40,800,11
2544,42,400,14
2595,43,250,30
2637,43,950,110
2677,44,617,1400
2715,45,250,2200
2751,45,850,2000
2782,46,367,2400
2818,46,967,3400
2828,47,133,3400
2858,47,633,4800
2894,48,233,5000
2933,48,883,1200
2968,49,467,70
3004,50,67,43
3086,51,433,500
3126,52,100,970
3159,52,650,1000
3172,52,867,1000
3195,53,250,970
3225,53,750,1000
3257,54,283,970
3375,56,250,900
3409,56,817,840
3439,57,317,800
3473,57,883,640
3509,58,483,340
3541,59,17,150
3574,59,567,35
3610,60,167,9.0
3662,61,33,7.0
3696,61,600,7.6
3733,62,217,14
3768,62,800,100
3809,63,483,370
3839,63,983,640
3881,64,683,800
3916,65,267,970
3952,65,867,1100
4021,67,17,1200
4055,67,583,1000
4088,68,133,900
4121,68,683,700
4153,69,217,420
4190,69,833,170
4228,70,467,60
4261,71,17,120
4296,71,600,130
4332,72,200,160
4370,72,833,230
4405,73,417,320
4460,74,333,560
4492,74,867,640
4534,75,567,740
4582,76,367,800
4627,77,117,840
4725,78,750,800
4812,80,200,700
4855,80,917,560
4901,81,683,320
4952,82,533,170
4996,83,267,210
5043,84,50,300
5083,84,717,370
5122,85,367,420
5165,86,83,520
5201,86,683,560
5238,87,300,520
5337,88,950,520
5407,90,117,420
5441,90,683,370
5470,91,167,340
5507,91,783,300
5580,93,0,320
5659,94,317,340
5718,95,300,370
5750,95,833,370
5779,96,317,370
5807,96,783,340
5835,97,250,340
5862,97,700,340
5916,98,600,320
5946,99,100,300
5974,99,567,260
6003,100,50,230
6035,100,583,260
6068,101,133,300
6097,101,617,320
6123,102,50,340
6157,102,617,370
6217,103,617,400
6367,106,117,400
6394,106,567,400
6425,107,83,370
6457,107,617,340
6486,108,100,320
6554,109,233,300
6583,109,717,340
6613,110,217,370
6646,110,767,400
6676,111,267,420
6708,111,800,500
6772,112,867,420
6866,114,433,400
6901,115,17,370
6935,115,583,340
6962,116,33,320
6996,116,600,280
7045,117,417,340
7073,117,883,370
7105,118,417,400
7138,118,967,420
7173,119,550,400
7263,121,50,370
7295,121,583,340
7332,122,200,280
7365,122,750,240
7395,123,250,230
7430,123,833,260
7466,124,433,240
7504,125,67,230
7537,125,617,210
7578,126,300,200
7767,129,450,180
7881,131,350,170
7951,132,517,180
8012,133,533,170
8086,134,767,150
8116,135,267,120
8146,135,767,100
8180,136,333,65
8212,136,867,37
8247,137,450,14
8285,138,83,8.0
8319,138,650,6.0
8352,139,200,5.4
8392,139,867,5.7
8425,140,417,6.6
8436,140,600,6
8458,140,967,7.6
8498,141,633,9.3
8526,142,100,12
8560,142,667,16
8591,143,183,46
8621,143,683,370
8651,144,183,740
8682,144,700,800
8713,145,217,1000
8757,145,950,970
8783,146,383,900
8813,146,883,970
8846,147,433,900
8881,148,17,800
8910,148,500,700
8935,148,917,420
8968,149,467,400
9000,150,0,560
9030,150,500,700
9059,150,983,800
9098,151,633,420
9132,152,200,370
9165,152,750,420
9200,153,333,500
9228,153,800,600
9258,154,300,700
9289,154,817,640
9325,155,417,600
9356,155,933,560
9390,156,500,520
9419,156,983,500
9464,157,733,420
9490,158,167,400
9519,158,650,370
9577,159,617,400
9603,160,50,420
9635,160,583,520
9671,161,183,640
9697,161,617,740
9723,162,50,840
9751,162,517,900
9781,163,17,970
9811,163,517,1000
9837,163,950,1300
9868,164,467,1500
9897,164,950,1700
9923,165,383,1800
9933,165,550,1800
9955,165,917,1400
9964,166,67,1400
9987,166,450,970
10018,166,967,700
10050,167,500,600
10088,168,133,560
10145,169,83,500
10172,169,533,400
10204,170,67,340
10230,170,500,320
10260,171,0,280
10286,171,433,240
10318,171,967,210
10353,172,550,200
10387,173,117,170
10421,173,683,160
10480,174,667,150
10521,175,350,150
10543,175,717,160
10599,176,650,170
10773,179,550,160
10808,180,133,150
10871,181,183,130
10900,181,667,120
10935,182,250,110
10972,182,867,86
11037,183,950,100
11073,184,550,120
11110,185,167,130
11140,185,667,120
11202,186,700,140
11228,187,133,150
11254,187,567,160
11284,188,67,170
11346,189,100,180
11502,191,700,170
11565,192,750,180
11590,193,167,170
11620,193,667,170
11686,194,767,160
