meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
697;13.0000;15.5224;2.5224;19.4033;0.2558;0.8915;88.638;-78.827080;1678.672729;116.796478;0.104855;-0.526736;-0.062798;0.841196;11.8716;-1.1284;-8.6801;-0.1310;12.5809;-0.4191;-3.2236;-0.0473
746;13.0000;16.4195;3.4195;26.3038;0.3369;0.9168;83.707;-158.832642;1683.320312;99.819832;0.063791;-0.571592;-0.024051;0.817701;12.2522;-0.7478;-5.7525;-0.0855;12.6309;-0.3691;-2.8389;-0.0415
768;14.0000;16.4386;2.4386;17.4185;0.2317;0.9450;83.165;-171.689651;1687.548462;73.495995;0.054805;-0.604955;-0.018492;0.794156;12.1344;-1.8656;-13.3257;-0.2063;12.3469;-1.6531;-11.8081;-0.1813
841;12.0000;13.0539;1.0539;8.7826;0.1214;0.7352;122.251;342.374969;1677.793701;375.528961;0.058248;-0.605690;-0.051768;0.791875;11.0101;-0.9899;-8.2492;-0.1242;12.9481;0.9481;7.9005;0.1097
970;10.0000;10.6026;0.6026;6.0263;0.0844;0.8530;167.440;795.832947;1765.057861;935.626343;0.001132;-0.659982;-0.047683;0.749766;7.9246;-2.0754;-20.7536;-0.3356;11.1336;1.1336;11.3356;0.1549
1117;11.0000;11.4761;0.4761;4.3285;0.0611;1.1632;110.707;407.056427;1727.111572;2063.355957;0.017136;-0.758235;0.010890;0.651665;8.2950;-2.7050;-24.5913;-0.4072;9.3592;-1.6408;-14.9160;-0.2330
1162;12.0000;13.1767;1.1767;9.8059;0.1350;1.2768;91.502;34.984566;1712.306885;2264.093750;0.073825;-0.804070;-0.030931;0.589122;9.5156;-2.4844;-20.7030;-0.3347;10.1771;-1.8229;-15.1907;-0.2377
1203;14.0000;15.2334;1.2334;8.8100;0.1218;1.2906;75.009;-327.950897;1559.958130;2253.881104;0.134604;-0.732844;-0.120486;0.655976;10.9884;-3.0116;-21.5111;-0.3494;11.1138;-2.8862;-20.6159;-0.3331
1251;20.0000;17.0668;-2.9332;-14.6660;-0.2288;1.3304;64.289;-565.387756;1321.763306;2192.969238;0.103267;-0.723823;-0.096574;0.675344;12.3209;-7.6791;-38.3953;-0.6989;12.4503;-7.5497;-37.7483;-0.6838
1269;20.0000;17.6530;-2.3470;-11.7352;-0.1801;1.3154;61.191;-623.184692;1314.113281;2146.563965;0.110849;-0.711657;-0.069617;0.690225;12.7472;-7.2528;-36.2639;-0.6498;12.8777;-7.1223;-35.6116;-0.6351
1292;22.0000;19.7055;-2.2945;-10.4294;-0.1589;1.2060;56.820;-653.311279;1309.319092;2000.123901;0.088295;-0.717445;-0.083327;0.685954;14.2374;-7.7626;-35.2844;-0.6278;14.3754;-7.6246;-34.6572;-0.6139
1331;23.0000;21.9711;-1.0289;-4.4736;-0.0660;0.9660;49.289;-631.055054;1292.653687;1706.204590;0.004476;-0.698328;-0.041146;0.714580;15.8997;-7.1003;-30.8709;-0.5326;16.0291;-6.9709;-30.3082;-0.5209
1370;25.0000;23.7969;-1.2031;-4.8124;-0.0712;0.8113;42.352;-605.969299;1281.224121;1497.775146;-0.006811;-0.752308;-0.033478;0.657925;17.2653;-7.7347;-30.9388;-0.5341;17.3628;-7.6372;-30.5488;-0.5259
1408;29.0000;26.8482;-2.1518;-7.4198;-0.1112;0.9985;39.034;-785.005615;1495.023804;1647.710083;0.027832;-0.771353;-0.053325;0.633559;19.4214;-9.5786;-33.0298;-0.5784;19.5893;-9.4107;-32.4508;-0.5660
1460;34.0000;31.0313;-2.9687;-8.7313;-0.1318;1.4460;38.971;-1133.729614;1719.779297;1916.915527;0.030043;-0.818807;-0.061303;0.569995;22.3278;-11.6722;-34.3300;-0.6067;22.6415;-11.3585;-33.4074;-0.5866
1499;50.0000;37.9240;-12.0760;-24.1520;-0.3988;1.6870;33.236;-1421.807251;1759.104004;1928.360718;0.011691;-0.849505;-0.074955;0.522097;27.2166;-22.7834;-45.5667;-0.8774;27.6716;-22.3284;-44.6567;-0.8535
1542;87.0000;46.7705;-40.2295;-46.2408;-0.8954;2.0494;29.186;-1797.558105;1748.916504;2015.769531;0.033782;-0.898024;-0.043244;0.436511;33.4554;-53.5446;-61.5455;-1.3788;34.1261;-52.8739;-60.7746;-1.3501
1583;117.0000;62.7412;-54.2588;-46.3750;-0.8990;2.2902;23.760;-2106.503418;1741.509155;1944.234619;0.019150;-0.913711;-0.043415;0.403585;44.7074;-72.2926;-61.7886;-1.3879;45.7841;-71.2159;-60.8683;-1.3536
1618;167.0000;74.2348;-92.7652;-55.5480;-1.1697;2.5394;20.734;-2386.564941;1751.508423;1921.513550;0.006025;-0.955179;-0.021735;0.295168;52.7084;-114.2916;-68.4381;-1.6637;54.1840;-112.8160;-67.5545;-1.6239
1649;197.0000;94.3055;-102.6945;-52.1292;-1.0628;2.6304;17.964;-2518.376465;1795.233887;1813.693848;-0.008113;-0.962909;-0.035150;0.267404;66.8124;-130.1877;-66.0851;-1.5600;68.8687;-128.1313;-65.0413;-1.5163
1681;207.0000;98.5941;-108.4059;-52.3700;-1.0701;2.6581;18.016;-2550.061035;1928.704346;1753.987305;-0.036411;-0.968755;-0.020264;0.244494;69.4819;-137.5181;-66.4338;-1.5749;72.0106;-134.9894;-65.2123;-1.5233
1722;227.0000;74.7709;-152.2291;-67.0613;-1.6021;2.6639;20.560;-2518.910889;2049.052002;1806.870972;-0.061989;-0.984804;0.028233;0.159752;52.5042;-174.4958;-76.8704;-2.1122;54.5850;-172.4150;-75.9537;-2.0561
1758;237.0000;134.5297;-102.4703;-43.2364;-0.8170;2.6406;21.089;-2490.603271;2097.362305;1786.159424;-0.012942;-0.982782;0.136613;0.123727;103.3643;-133.6357;-56.3864;-1.1971;98.2007;-138.7993;-58.5651;-1.2711
1801;21.0000;80.4627;59.4627;283.1555;1.9379;2.5877;20.688;-2444.046387;2008.060181;1810.535400;0.016154;-0.972723;0.103337;0.207050;56.8551;35.8551;170.7384;1.4369;58.7464;37.7464;179.7448;1.4841
1824;197.0000;76.3935;-120.6065;-61.2215;-1.3667;2.5561;21.042;-2404.786133;1931.007324;1863.678467;0.030129;-0.969661;0.085506;0.227021;54.1445;-142.8555;-72.5155;-1.8633;55.7717;-141.2283;-71.6895;-1.8206
1852;177.0000;78.8675;-98.1325;-55.4421;-1.1662;2.4854;20.842;-2338.269043;1831.126099;1875.260986;0.042297;-0.938665;0.054121;0.337921;56.0177;-120.9823;-68.3516;-1.6598;57.5684;-119.4316;-67.4755;-1.6204
1883;127.0000;83.8096;-43.1904;-34.0082;-0.5996;2.3498;19.636;-2226.205811;1711.304443;1816.552490;0.047664;-0.900341;0.016127;0.432267;59.7242;-67.2758;-52.9731;-1.0884;61.1606;-65.8394;-51.8420;-1.0542
1910;107.0000;86.7848;-20.2152;-18.8927;-0.3021;2.3066;18.373;-2199.201660;1590.516235;1778.921265;0.008245;-0.885901;-0.055698;0.460444;61.9222;-45.0778;-42.1288;-0.7891;63.3185;-43.6815;-40.8238;-0.7569
1940;117.0000;95.7648;-21.2352;-18.1497;-0.2889;2.3054;15.921;-2224.761719;1442.225586;1691.280029;-0.014755;-0.833219;-0.140303;0.534644;68.3274;-48.6726;-41.6005;-0.7760;69.8426;-47.1574;-40.3055;-0.7443
2033;147.0000;103.8884;-43.1116;-29.3276;-0.5008;2.1799;11.135;-2147.735107;1204.000122;1369.941650;-0.041909;-0.707175;-0.204093;0.675643;74.9001;-72.0999;-49.0475;-0.9728;75.7105;-71.2895;-48.4963;-0.9573
2061;137.0000;118.3409;-18.6591;-13.6198;-0.2112;2.1947;8.696;-2182.914307;1175.107300;1175.773804;-0.055818;-0.660825;-0.225682;0.713626;86.0075;-50.9925;-37.2208;-0.6716;86.2411;-50.7589;-37.0503;-0.6677
2163;157.0000;131.8934;-25.1066;-15.9915;-0.2514;2.2101;8.851;-2208.409912;1227.596802;837.446777;-0.076470;-0.586320;-0.219738;0.775949;97.7239;-59.2761;-37.7555;-0.6840;96.2248;-60.7752;-38.7103;-0.7063
2191;137.0000;127.2647;-9.7353;-7.1060;-0.1063;2.2011;9.989;-2193.532471;1219.641846;785.195801;-0.043745;-0.608927;-0.211125;0.763361;94.7195;-42.2805;-30.8617;-0.5324;92.8708;-44.1292;-32.2111;-0.5609
2274;107.0000;146.1734;39.1734;36.6106;0.4501;2.3725;14.295;-2343.537354;1522.963623;478.790558;0.083870;-0.488945;-0.168177;0.851831;110.2014;3.2014;2.9919;0.0425;106.8737;-0.1263;-0.1180;-0.0017
2301;97.0000;131.1935;34.1935;35.2510;0.4356;2.3434;16.319;-2299.449219;1662.507812;428.405243;0.097650;-0.518029;-0.131913;0.839470;97.9807;0.9807;1.0110;0.0145;95.9014;-1.0986;-1.1326;-0.0164
2327;87.0000;130.9266;43.9266;50.4904;0.5897;2.3065;16.305;-2266.024414;1759.830811;475.108643;0.139156;-0.557637;-0.133960;0.807299;97.0101;10.0101;11.5058;0.1571;95.6747;8.6747;9.9709;0.1371
2388;157.0000;153.7893;-3.2107;-2.0450;-0.0298;2.2163;11.068;-2219.808594;1738.375732;717.814148;0.253028;-0.596042;-0.254137;0.718418;113.4276;-43.5724;-27.7531;-0.4690;112.3617;-44.6383;-28.4320;-0.4826
2531;157.0000;136.8619;-20.1381;-12.8268;-0.1980;2.0997;5.312;-2123.960205;1682.365112;1058.964966;0.229508;-0.563577;-0.332865;0.720352;99.0966;-57.9034;-36.8812;-0.6639;99.9261;-57.0739;-36.3528;-0.6518
2587;157.0000;134.5592;-22.4408;-14.2935;-0.2225;2.1323;6.192;-2149.040771;1672.192871;1194.385864;0.230256;-0.582543;-0.322941;0.709460;96.8431;-60.1569;-38.3165;-0.6970;98.2298;-58.7702;-37.4333;-0.6765
2680;137.0000;121.1990;-15.8010;-11.5336;-0.1768;2.0553;3.552;-2073.292236;1367.207397;1091.355347;0.280360;-0.641348;-0.508362;0.501636;88.3287;-48.6713;-35.5265;-0.6332;88.4301;-48.5699;-35.4525;-0.6316
2713;127.0000;108.1675;-18.8325;-14.8288;-0.2316;2.0175;4.409;-2032.265747;1344.403564;1105.913940;0.248382;-0.612878;-0.577635;0.478565;78.6006;-48.3994;-38.1098;-0.6922;78.9188;-48.0812;-37.8592;-0.6864
2749;107.0000;89.5314;-17.4686;-16.3258;-0.2571;1.9049;5.204;-1916.740845;1366.337280;1167.272339;0.248758;-0.624477;-0.586667;0.451629;64.8617;-42.1383;-39.3816;-0.7222;65.3278;-41.6722;-38.9460;-0.7118
2778;83.0000;72.0225;-10.9775;-13.2259;-0.2047;1.7159;4.936;-1730.645264;1368.074341;1111.089233;0.224943;-0.613495;-0.555425;0.514323;52.2690;-30.7310;-37.0253;-0.6672;52.5557;-30.4443;-36.6799;-0.6593
2807;72.0000;64.2655;-7.7345;-10.7423;-0.1640;1.5914;5.471;-1608.182129;1360.901367;994.543396;0.235196;-0.575336;-0.513090;0.591955;46.7937;-25.2063;-35.0087;-0.6217;46.8971;-25.1029;-34.8652;-0.6185
2839;62.0000;53.1989;-8.8011;-14.1953;-0.2209;1.4199;7.714;-1434.400146;1381.865112;897.236084;0.228097;-0.605383;-0.507201;0.569412;38.7657;-23.2343;-37.4747;-0.6775;38.8266;-23.1734;-37.3764;-0.6752
2868;50.0000;42.9685;-7.0315;-14.0631;-0.2187;1.2350;12.162;-1235.677490;1358.818970;825.729919;0.238328;-0.625358;-0.493871;0.555174;31.3297;-18.6703;-37.3406;-0.6744;31.3609;-18.6391;-37.2782;-0.6730
2895;43.0000;38.5414;-4.4586;-10.3689;-0.1579;1.1506;17.664;-1125.751465;1321.474121;742.447937;0.268579;-0.580329;-0.484517;0.596931;28.1356;-14.8644;-34.5685;-0.6119;28.1291;-14.8709;-34.5834;-0.6123
2929;37.0000;32.6756;-4.3244;-11.6875;-0.1793;0.9925;23.041;-945.380798;1352.999512;676.618347;0.277105;-0.556289;-0.466813;0.629160;23.8378;-13.1622;-35.5736;-0.6343;23.8478;-13.1522;-35.5464;-0.6337
2956;32.0000;28.5635;-3.4365;-10.7389;-0.1639;0.8309;26.806;-775.107117;1396.533813;670.052673;0.268846;-0.583387;-0.435225;0.630842;20.8160;-11.1840;-34.9499;-0.6204;20.8466;-11.1534;-34.8542;-0.6183
2982;29.0000;26.4272;-2.5728;-8.8718;-0.1340;0.7480;28.501;-694.029602;1490.049194;662.917542;0.258212;-0.526574;-0.309757;0.748396;19.2490;-9.7510;-33.6242;-0.5913;19.2866;-9.7134;-33.4946;-0.5885
3010;54.0000;24.4099;-29.5901;-54.7965;-1.1455;0.8168;42.085;-650.979919;1573.175659;469.483551;0.208198;-0.524293;-0.156981;0.810634;17.7969;-36.2031;-67.0428;-1.6013;17.8153;-36.1847;-67.0086;-1.5998
3044;27.0000;25.7371;-1.2629;-4.6774;-0.0691;1.1681;47.131;-848.819031;1592.825439;167.240570;0.164298;-0.504737;-0.089125;0.842795;18.8156;-8.1844;-30.3125;-0.5210;18.7866;-8.2134;-30.4201;-0.5233
3078;32.0000;27.2330;-4.7670;-14.8968;-0.2327;1.4672;44.539;-1104.307495;1576.542480;0.516037;0.135101;-0.374754;-0.097295;0.912053;19.9432;-12.0568;-37.6774;-0.6822;19.8801;-12.1199;-37.8748;-0.6867
3143;72.0000;59.3268;-12.6732;-17.6017;-0.2793;1.8616;36.393;-1558.178589;1544.846313;-62.991314;0.071463;-0.221145;-0.142895;0.962065;54.9773;-17.0227;-23.6426;-0.3892;47.8259;-24.1741;-33.5751;-0.5902
3176;227.0000;105.2600;-121.7400;-53.6300;-1.1087;2.0708;29.074;-1866.927246;1547.752686;44.543816;0.057812;-0.175883;-0.135758;0.973290;87.5734;-139.4266;-61.4214;-1.3741;81.7299;-145.2701;-63.9956;-1.4738
3202;257.0000;171.1835;-85.8165;-33.3916;-0.5862;2.2339;26.173;-2061.417480;1551.845093;71.615395;0.056193;-0.109226;-0.141744;0.982253;151.5615;-105.4385;-41.0267;-0.7619;127.1736;-129.8264;-50.5161;-1.0150
3234;317.0000;228.3708;-88.6292;-27.9587;-0.4731;2.3712;20.167;-2278.011475;1561.031128;247.386734;0.046065;-0.047914;-0.147833;0.986776;108.3082;-208.6918;-65.8334;-1.5493;168.2306;-148.7694;-46.9304;-0.9140
3266;337.0000;277.8369;-59.1631;-17.5558;-0.2785;2.5040;18.057;-2431.227051;1546.951050;292.404755;0.021876;0.001849;-0.154039;0.987821;217.9203;-119.0797;-35.3352;-0.6289;207.6476;-129.3524;-38.3835;-0.6986
3380;297.0000;238.6494;-58.3506;-19.6467;-0.3156;2.7271;11.108;-2721.222412;1611.171387;568.002502;0.065557;0.000920;-0.201560;0.977279;163.8544;-133.1456;-44.8302;-0.8580;175.1888;-121.8112;-41.0139;-0.7616
3391;297.0000;188.0883;-108.9117;-36.6706;-0.6591;2.7245;10.809;-2720.991943;1611.545898;583.142822;0.065464;-0.055342;-0.209097;0.974130;141.5371;-155.4629;-52.3444;-1.0693;137.5862;-159.4138;-53.6747;-1.1101
3413;257.0000;214.9288;-42.0712;-16.3701;-0.2579;2.7122;10.527;-2710.963867;1613.015259;599.278625;0.110983;-0.143597;-0.219231;0.958645;165.7646;-91.2354;-35.5001;-0.6326;157.1700;-99.8300;-38.8444;-0.7094
