frame,seconds,milliseconds,value
697,11,617,16
746,12,433,16
768,12,800,17
841,14,17,15
970,16,167,13
1117,18,617,14
1162,19,367,15
1203,20,50,17
1251,20,850,23
1269,21,150,23
1292,21,533,25
1331,22,183,26
1370,22,833,28
1408,23,467,32
1460,24,333,37
1499,24,983,53
1542,25,700,90
1583,26,383,120
1618,26,967,170
1649,27,483,200
1681,28,17,210
1722,28,700,230
1758,29,300,240
1801,30,17,24
1824,30,400,200
1852,30,867,180
1883,31,383,130
1910,31,833,110
1940,32,333,120
2033,33,883,150
2061,34,350,140
2163,36,50,160
2191,36,517,140
2274,37,900,110
2301,38,350,100
2327,38,783,90
2388,39,800,160
2531,42,183,160
2587,43,117,160
2680,44,667,140
2713,45,217,130
2749,45,817,110
2778,46,300,86
2807,46,783,75
2839,47,317,65
2868,47,800,53
2895,48,250,46
2929,48,817,40
2956,49,267,35
2982,49,700,32
3010,50,167,57
3044,50,733,30
3078,51,300,35
3143,52,383,75
3176,52,933,230
3202,53,367,260
3234,53,900,320
3266,54,433,340
3380,56,333,300
3391,56,517,300
3413,56,883,260
3459,57,650,200
3500,58,333,230
3541,59,17,150
3613,60,217,210
3643,60,717,370
3677,61,283,450
3708,61,800,420
3739,62,317,400
3842,64,33,370
3912,65,200,370
3934,65,567,370
4055,67,583,340
4232,70,533,370
4299,71,650,400
4335,72,250,520
4426,73,767,400
4429,73,817,400
4451,74,183,340
4478,74,633,260
4483,74,717,260
4505,75,83,210
4539,75,650,150
4573,76,217,180
4612,76,867,260
4642,77,367,210
4670,77,833,200
4700,78,333,240
4726,78,767,260
4752,79,200,210
4778,79,633,160
4804,80,67,130
4829,80,483,100
4858,80,967,80
4897,81,617,75
4905,81,750,75
4961,82,683,80
5045,84,83,110
5088,84,800,90
5114,85,233,70
5140,85,667,50
5166,86,100,43
5236,87,267,53
5256,87,600,65
5343,89,50,53
5378,89,633,50
5502,91,700,35
5563,92,717,40
5628,93,800,43
5662,94,367,40
5696,94,933,43
5724,95,400,50
5750,95,833,57
5776,96,267,80
5779,96,317,80
5802,96,700,86
5899,98,317,80
5936,98,933,65
5969,99,483,90
5976,99,600,90
5999,99,983,75
6002,100,33,75
6024,100,400,46
6076,101,267,37
6120,102,0,40
6145,102,417,43
6171,102,850,50
6217,103,617,65
6253,104,217,80
6280,104,667,90
6307,105,117,110
6310,105,167,110
6332,105,533,120
6402,106,700,280
6410,106,833,280
6491,108,183,170
6522,108,700,260
6527,108,783,260
6550,109,167,240
6594,109,900,280
6623,110,383,260
6648,110,800,240
6685,111,417,170
6712,111,867,160
6737,112,283,170
6764,112,733,180
6789,113,150,120
6815,113,583,180
6844,114,67,230
6960,116,0,240
7013,116,883,86
7064,117,733,100
7109,118,483,37
7153,119,217,43
7196,119,933,60
7255,120,917,80
