Format Version,1.23,Take Name,1 Lampe schwarzer Raum 60 styro_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 04.28.53.531,Capture Start Frame,2116479,Total Frames in Take,17915,Total Exported Frames,17915,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.190702,0.840719,-0.260128,0.434923,-3550.626873,1061.548312,-2646.796999
1,0.008000,0.190745,0.840692,-0.260064,0.434994,-3550.617442,1061.508717,-2646.776399
2,0.017000,0.190854,0.840641,-0.259994,0.435087,-3550.573502,1061.489747,-2646.755988
3,0.025000,0.190891,0.840638,-0.260040,0.435049,-3550.578016,1061.431041,-2646.761052
4,0.033000,0.190913,0.840616,-0.260027,0.435090,-3550.573443,1061.374900,-2646.750000
5,0.042000,0.192170,0.840189,-0.260702,0.434957,-3550.135431,1061.136941,-2646.781108
6,0.050000,0.192181,0.840221,-0.260831,0.434812,-3550.169480,1061.055038,-2646.799653
7,0.058000,0.192280,0.840217,-0.260945,0.434708,-3550.187139,1060.968299,-2646.814064
8,0.067000,0.192446,0.840129,-0.261230,0.434634,-3550.163188,1060.837313,-2646.840388
9,0.075000,0.192492,0.840160,-0.261245,0.434544,-3550.191546,1060.782858,-2646.833453
10,0.083000,0.192558,0.840122,-0.261471,0.434454,-3550.209573,1060.676923,-2646.852800
11,0.092000,0.192614,0.840115,-0.261698,0.434305,-3550.252264,1060.568670,-2646.871785
12,0.100000,0.192741,0.840074,-0.261903,0.434204,-3550.278995,1060.462091,-2646.856133
13,0.108000,0.192709,0.840055,-0.262006,0.434193,-3550.307912,1060.388017,-2646.859509
14,0.117000,0.192777,0.840079,-0.262109,0.434053,-3550.367163,1060.312870,-2646.832896
15,0.125000,0.192731,0.840082,-0.262262,0.433976,-3550.430514,1060.231148,-2646.839364
16,0.133000,0.192704,0.840139,-0.262222,0.433903,-3550.473053,1060.210817,-2646.820145
17,0.142000,0.192717,0.840176,-0.262434,0.433697,-3550.560078,1060.143062,-2646.827642
18,0.150000,0.192594,0.840228,-0.262491,0.433616,-3550.645766,1060.097990,-2646.806981
19,0.158000,0.192526,0.840242,-0.262593,0.433557,-3550.718279,1060.058205,-2646.789881
20,0.167000,0.192425,0.840223,-0.262636,0.433613,-3550.766984,1060.028970,-2646.772726
21,0.175000,0.192404,0.840273,-0.262657,0.433512,-3550.856031,1060.030867,-2646.728827
22,0.183000,0.192273,0.840270,-0.262760,0.433515,-3550.934673,1059.993115,-2646.691110
23,0.192000,0.192102,0.840316,-0.262714,0.433529,-3551.008890,1060.018000,-2646.668017
24,0.200000,0.191960,0.840350,-0.262764,0.433495,-3551.112935,1060.018341,-2646.641977
25,0.208000,0.191907,0.840336,-0.262772,0.433542,-3551.158739,1060.050579,-2646.619636
26,0.217000,0.191802,0.840412,-0.262859,0.433387,-3551.278279,1060.086081,-2646.626806
27,0.225000,0.191740,0.840321,-0.262997,0.433509,-3551.395860,1060.085588,-2646.629286
28,0.233000,0.191690,0.840365,-0.263216,0.433311,-3551.493451,1060.118230,-2646.677181
