meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
970;157.0000;851.4985;694.4985;442.3558;2.4392;2.3592;11.586;-2355.122559;1621.271851;610.975220;0.030988;-0.696184;0.057015;-0.714925;979.5219;822.5219;523.8993;2.6413;627.5240;470.5240;299.6968;1.9989
1010;147.0000;768.3452;621.3452;422.6838;2.3859;2.3809;18.131;-2314.759033;1632.732300;336.726990;0.045233;-0.694976;0.050538;-0.715827;637.6074;490.6074;333.7465;2.1169;580.6526;433.6526;295.0018;1.9819
1041;117.0000;585.8273;468.8273;400.7071;2.3240;2.4910;23.464;-2344.448975;1641.554199;84.114891;0.055397;-0.645614;0.060476;-0.759248;449.9110;332.9110;284.5394;1.9431;425.8596;308.8596;263.9826;1.8639
1070;97.0000;378.7784;281.7784;290.4932;1.9653;2.5208;28.717;-2276.059082;1628.905762;-141.531967;0.056884;-0.600466;0.054018;-0.795793;329.3546;232.3546;239.5408;1.7636;304.6348;207.6348;214.0565;1.6510
1098;83.0000;184.1297;101.1297;121.8430;1.1495;2.5432;33.586;-2189.421387;1630.350830;-341.076508;0.041401;-0.577869;0.064647;-0.812511;135.3373;52.3373;63.0569;0.7054;157.8461;74.8461;90.1760;0.9273
1134;67.0000;51.9927;-15.0073;-22.3990;-0.3659;2.6226;38.346;-2133.833252;1629.620483;-564.142212;0.012581;-0.505547;0.063870;-0.860340;76.4079;9.4079;14.0416;0.1896;56.9125;-10.0875;-15.0559;-0.2354
1164;62.0000;8.7330;-53.2670;-85.9145;-2.8277;2.5953;42.226;-2001.974609;1624.436523;-686.197754;0.005588;-0.477360;0.050285;-0.877250;9.8186;-52.1814;-84.1635;-2.6587;15.0794;-46.9206;-75.6785;-2.0397
1208;54.0000;2.3861;-51.6139;-95.5813;-4.5002;2.5825;46.793;-1854.783203;1715.060303;-820.938843;-0.040405;-0.383478;0.037503;-0.921903;4.8613;-49.1387;-90.9976;-3.4736;4.1676;-49.8324;-92.2823;-3.6957
1230;50.0000;2.2824;-47.7176;-95.4352;-4.4533;2.5167;48.004;-1772.957764;1808.584717;-798.302124;-0.081812;-0.380384;0.043019;-0.920198;3.3388;-46.6612;-93.3223;-3.9045;4.4040;-45.5960;-91.1919;-3.5050
1286;67.0000;3.5491;-63.4509;-94.7028;-4.2386;2.2767;45.583;-1681.127808;2026.820801;-495.699860;-0.064659;-0.444595;0.035229;-0.892700;4.1105;-62.8895;-93.8649;-4.0268;6.3831;-60.6169;-90.4729;-3.3918
1318;83.0000;30.0584;-52.9416;-63.7850;-1.4653;2.2265;40.459;-1776.829102;2047.464722;-290.452087;-0.093498;-0.523628;0.023853;-0.846465;65.5642;-17.4358;-21.0069;-0.3402;38.9494;-44.0506;-53.0730;-1.0915
1344;107.0000;176.0361;69.0361;64.5197;0.7183;2.1280;35.425;-1810.278442;2050.208008;-55.697376;-0.071060;-0.575898;0.032538;-0.813777;175.7032;68.7032;64.2086;0.7155;155.2590;48.2590;45.1019;0.5371
1372;147.0000;516.5931;369.5931;251.4239;1.8132;2.0539;29.519;-1856.599243;2064.393311;210.923782;-0.053587;-0.613751;0.049534;-0.786120;344.7822;197.7822;134.5457;1.2299;433.6252;286.6252;194.9831;1.5606
1401;177.0000;891.5032;714.5032;403.6741;2.3325;2.0269;23.327;-1922.856689;2054.448486;475.533142;-0.034360;-0.657422;0.088939;-0.747466;809.3245;632.3245;357.2455;2.1930;656.3646;479.3646;270.8275;1.8907
1427;207.0000;1102.0052;895.0052;432.3697;2.4124;1.9864;18.409;-1938.460693;2039.312012;740.812439;-0.008255;-0.708486;0.062878;-0.702870;881.9499;674.9499;326.0627;2.0911;845.8908;638.8908;308.6429;2.0308
1455;227.0000;1147.1907;920.1907;405.3703;2.3373;1.9925;16.017;-1961.026123;2042.674194;1025.484985;-0.006623;-0.723480;0.064059;-0.687335;748.6465;521.6465;229.8002;1.7216;843.1399;616.1399;271.4272;1.8931
1484;207.0000;1084.4779;877.4779;423.9024;2.3893;2.0298;17.533;-1973.619141;2048.482910;1308.484009;-0.013054;-0.760098;0.069595;-0.645939;800.4604;593.4604;286.6959;1.9512;826.8917;619.8917;299.4646;1.9981
1512;197.0000;958.3956;761.3956;386.4952;2.2824;2.0252;21.727;-1911.106567;2027.403320;1578.897827;0.016538;-0.811933;0.069137;-0.579406;622.8342;425.8342;216.1595;1.6607;696.5814;499.5814;253.5946;1.8221
1538;157.0000;682.1899;525.1899;334.5159;2.1194;2.1077;26.292;-1911.767212;2008.211182;1831.024658;0.012554;-0.825607;0.063211;-0.560553;432.0601;275.0601;175.1975;1.4605;515.6616;358.6616;228.4469;1.7157
1569;127.0000;344.0245;217.0245;170.8854;1.4377;2.1479;32.004;-1836.915527;2008.633545;2066.260986;0.015528;-0.822436;0.060143;-0.565457;244.4950;117.4950;92.5158;0.9450;268.3787;141.3787;111.3218;1.0794
1597;107.0000;125.8388;18.8388;17.6064;0.2340;2.1610;36.756;-1740.063110;1963.638916;2253.988525;0.036202;-0.853960;0.029273;-0.518251;74.7531;-32.2469;-30.1373;-0.5174;94.9045;-12.0955;-11.3042;-0.1731
1625;97.0000;71.5552;-25.4448;-26.2317;-0.4389;2.2009;38.562;-1722.036011;1836.586426;2376.487305;0.036598;-0.861214;-0.005778;-0.506890;82.7785;-14.2215;-14.6614;-0.2287;60.4537;-36.5463;-37.6766;-0.6822
1711;87.0000;75.6600;-11.3400;-13.0345;-0.2015;2.2228;38.368;-1724.026001;1256.593384;2404.676025;0.243477;-0.802303;0.005791;-0.544973;77.2307;-9.7693;-11.2291;-0.1718;60.1112;-26.8888;-30.9067;-0.5334
1747;107.0000;229.7927;122.7927;114.7595;1.1027;2.2723;33.707;-1869.486938;1038.793213;2226.124756;0.287900;-0.771514;0.030266;-0.566536;163.2603;56.2603;52.5797;0.6096;173.9464;66.9464;62.5668;0.7010
1785;117.0000;545.3088;428.3088;366.0760;2.2206;2.2323;27.709;-1960.578125;935.848572;1929.285156;0.275888;-0.749031;0.024802;-0.601849;397.2971;280.2971;239.5702;1.7637;403.3849;286.3849;244.7734;1.7856
1839;157.0000;912.5289;755.5289;481.2286;2.5391;2.1957;18.618;-2078.023926;884.986633;1412.243164;0.230157;-0.746392;0.094678;-0.617222;685.7120;528.7120;336.7592;2.1268;676.8121;519.8121;331.0905;2.1080
1865;167.0000;927.4265;760.4265;455.3452;2.4734;2.1908;17.032;-2098.603271;851.332153;1134.308838;0.221103;-0.749471;0.113335;-0.613647;677.1426;510.1426;305.4746;2.0196;666.3900;499.3900;299.0359;1.9965
1891;157.0000;883.6697;726.6697;462.8470;2.4927;2.2220;17.998;-2123.735840;826.893799;870.857605;0.236524;-0.722362;0.103286;-0.641547;636.1027;479.1027;305.1610;2.0185;648.1681;491.1681;312.8459;2.0456
1921;137.0000;736.1221;599.1221;437.3154;2.4258;2.2822;21.900;-2135.913330;799.029358;556.791199;0.251326;-0.697684;0.107883;-0.662143;586.0536;449.0536;327.7764;2.0969;521.3304;384.3304;280.5332;1.9280
1972;87.0000;288.6222;201.6222;231.7496;1.7301;2.4392;31.083;-2121.653809;776.291992;18.214767;0.250427;-0.652196;0.129930;-0.703594;463.7146;376.7146;433.0053;2.4141;239.2539;152.2539;175.0045;1.4595
1998;72.0000;122.7445;50.7445;70.4785;0.7696;2.4862;35.300;-2069.565674;817.379517;-214.070496;0.194961;-0.645275;0.167535;-0.719404;75.6064;3.6064;5.0089;0.0705;101.4986;29.4986;40.9702;0.4954
2025;67.0000;67.6960;0.6960;1.0388;0.0149;2.4581;37.652;-1997.010376;1004.634277;-366.810333;0.145236;-0.628956;0.160200;-0.746764;136.0027;69.0027;102.9891;1.0214;65.9981;-1.0019;-1.4954;-0.0217
2055;77.0000;76.6881;-0.3119;-0.4051;-0.0059;2.2775;37.764;-1863.241821;1393.476196;-341.524231;0.086919;-0.629511;0.034014;-0.771365;172.6314;95.6314;124.1966;1.1648;79.0023;2.0023;2.6005;0.0370
2100;107.0000;52.4031;-54.5969;-51.0252;-1.0299;1.8733;39.713;-1503.080566;1537.782104;-157.313049;0.044047;-0.670040;0.081541;-0.736518;34.3866;-72.6134;-67.8630;-1.6377;59.8490;-47.1510;-44.0664;-0.8382
2130;117.0000;39.8802;-77.1198;-65.9143;-1.5528;1.6599;40.804;-1316.952148;1590.576172;-47.949368;0.039845;-0.634222;0.077924;-0.768181;188.4458;71.4458;61.0648;0.6876;58.5200;-58.4800;-49.9829;-0.9995
2155;177.0000;143.7657;-33.2343;-18.7764;-0.3000;1.4899;38.506;-1223.766846;1650.147705;113.400757;0.034911;-0.598934;0.047015;-0.798655;186.1056;9.1056;5.1444;0.0724;158.1933;-18.8067;-10.6252;-0.1621
2182;297.0000;752.6891;455.6891;153.4307;1.3416;1.3406;32.905;-1178.793457;1690.426147;322.454926;0.048744;-0.579677;0.015093;-0.813247;523.5400;226.5400;76.2761;0.8178;623.0329;326.0329;109.7754;1.0688
2207;517.0000;1557.7280;1040.7280;201.3014;1.5912;1.2144;29.063;-1111.238770;1710.781372;469.788330;0.012900;-0.592324;-0.007744;-0.805559;1195.2634;678.2634;131.1922;1.2091;1266.5519;749.5519;144.9810;1.2927
2242;837.0000;3008.3320;2171.3320;259.4184;1.8457;1.0797;24.086;-1031.515137;1742.618042;643.744568;0.001727;-0.596699;-0.022301;-0.802153;2163.2375;1326.2375;158.4513;1.3699;2211.1606;1374.1606;164.1769;1.4015
2272;1297.0000;4466.3384;3169.3384;244.3592;1.7839;1.0076;15.708;-1009.727051;1736.955933;854.475769;0.011300;-0.656564;-0.013577;-0.754063;2821.8672;1524.8672;117.5688;1.1215;3229.1084;1932.1084;148.9675;1.3160
2304;1497.0000;4612.4536;3115.4536;208.1131;1.6235;1.0044;12.094;-1016.480713;1734.110962;1042.826172;0.008223;-0.682542;-0.007472;-0.730762;4351.4604;2854.4604;190.6787;1.5394;3381.1313;1884.1313;125.8605;1.1754
2333;1297.0000;4077.5269;2780.5269;214.3814;1.6525;1.0571;13.814;-1057.115112;1728.201050;1174.175171;0.008385;-0.686159;0.008555;-0.727353;2429.3464;1132.3464;87.3050;0.9054;2876.3503;1579.3503;121.7695;1.1491
2359;1197.0000;3989.0442;2792.0442;233.2535;1.7366;1.0338;18.443;-1007.956665;1724.106567;1285.003052;0.007857;-0.724968;0.019994;-0.688447;2957.1909;1760.1909;147.0502;1.3048;3035.4297;1838.4297;153.5864;1.3425
2388;967.0000;2872.6904;1905.6904;197.0724;1.5708;1.0340;25.721;-954.465271;1716.769897;1430.767456;0.008801;-0.767355;0.022413;-0.640770;1874.3412;907.3412;93.8305;0.9548;2145.1584;1178.1584;121.8364;1.1495
2414;697.0000;1478.2100;781.2100;112.0818;1.0846;1.0984;31.092;-959.087708;1696.122925;1565.795898;0.011482;-0.797271;0.028006;-0.602863;1491.6809;794.6809;114.0145;1.0977;1195.5089;498.5089;71.5221;0.7784
2440;397.0000;421.8037;24.8037;6.2478;0.0874;1.1469;36.933;-931.329407;1687.177246;1694.202515;0.003821;-0.824338;0.024874;-0.565538;233.1398;-163.8602;-41.2746;-0.7679;311.8095;-85.1905;-21.4586;-0.3485
2466;277.0000;51.2324;-225.7676;-81.5046;-2.4348;1.1703;42.158;-877.824524;1648.692993;1798.728760;0.042441;-0.863750;0.037748;-0.500709;47.6128;-229.3872;-82.8113;-2.5405;55.8634;-221.1366;-79.8327;-2.3099
2492;207.0000;19.7741;-187.2260;-90.4473;-3.3880;1.2299;44.549;-882.584900;1592.646851;1883.105835;0.075287;-0.872928;0.078358;-0.475594;20.4338;-186.5662;-90.1286;-3.3406;24.6834;-182.3167;-88.0757;-3.0680
2518;177.0000;17.9443;-159.0557;-89.8620;-3.3022;1.3337;44.295;-956.545837;1525.827148;1956.241455;0.154783;-0.851436;0.068201;-0.496434;27.2642;-149.7358;-84.5965;-2.6987;22.0956;-154.9044;-87.5166;-3.0019
2570;257.0000;185.1197;-71.8803;-27.9690;-0.4733;1.1892;39.162;-923.129456;1322.814453;1746.616821;0.328438;-0.717487;0.168822;-0.590626;66.6226;-190.3774;-74.0768;-1.9477;162.8705;-94.1295;-36.6263;-0.6580
2596;367.0000;710.6287;343.6287;93.6318;0.9533;1.0986;35.104;-902.083557;1260.844727;1596.007202;0.383310;-0.681392;0.213984;-0.585653;418.4797;51.4797;14.0272;0.1894;527.8956;160.8956;43.8408;0.5245
2624;737.0000;2526.0750;1789.0750;242.7510;1.7772;1.0383;27.545;-928.239258;1224.534180;1397.009033;0.437576;-0.635084;0.221543;-0.596754;1839.3462;1102.3462;149.5721;1.3195;1863.3088;1126.3088;152.8235;1.3381
2653;1097.0000;4204.2773;3107.2773;283.2523;1.9383;0.9938;21.036;-940.467896;1215.486084;1198.944214;0.457696;-0.579025;0.235254;-0.632376;3048.7937;1951.7937;177.9210;1.4747;3007.3440;1910.3440;174.1426;1.4549
2685;1497.0000;4881.1187;3384.1187;226.0600;1.7051;0.9584;18.433;-929.387512;1231.265259;957.579529;0.427112;-0.562121;0.257274;-0.659852;3717.8408;2220.8408;148.3528;1.3124;3598.8447;2101.8447;140.4038;1.2655
2727;1197.0000;3389.3684;2192.3684;183.1553;1.5016;0.9836;25.464;-919.924500;1326.530151;651.289978;0.335214;-0.551263;0.217508;-0.732414;2654.4524;1457.4524;121.7588;1.1490;2465.4224;1268.4224;105.9668;1.0424
2729;1197.0000;3267.2043;2070.2043;172.9494;1.4486;0.9836;26.012;-916.311951;1331.290039;639.194519;0.332366;-0.541811;0.236813;-0.734775;2959.0881;1762.0881;147.2087;1.3057;2395.5242;1198.5242;100.1273;1.0009
2752;897.0000;2432.5742;1535.5742;171.1900;1.4393;0.9762;29.087;-891.853943;1454.842896;553.705750;0.264554;-0.543152;0.192319;-0.773312;2222.9902;1325.9902;147.8250;1.3093;1946.0570;1049.0570;116.9517;1.1174
2796;1997.0000;7053.3809;5056.3809;253.1988;1.8205;0.7834;17.024;-786.531067;1643.397827;819.111938;0.108197;-0.699854;0.022257;-0.705693;5640.5796;3643.5796;182.4527;1.4980;5232.9712;3235.9712;162.0416;1.3898
2822;4197.0000;10523.3506;6326.3506;150.7351;1.3262;0.6653;8.091;-690.994019;1607.444580;957.641235;0.084102;-0.739327;0.038179;-0.666982;7955.8276;3758.8276;89.5599;0.9227;7682.8975;3485.8975;83.0569;0.8723
2902;8997.0000;16892.9258;7895.9258;87.7618;0.9089;0.5229;4.219;-550.248413;1520.686157;979.539795;0.050833;-0.696442;0.156946;-0.698392;10368.5078;1371.5078;15.2441;0.2047;12404.8887;3407.8887;37.8781;0.4634
2945;4797.0000;8155.9932;3358.9932;70.0228;0.7657;0.7578;6.539;-780.534851;1578.441772;1092.263916;0.041683;-0.700019;0.070486;-0.709414;5878.6855;1081.6855;22.5492;0.2934;5950.0063;1153.0063;24.0360;0.3108
2971;1697.0000;4401.1157;2704.1157;159.3468;1.3749;1.0372;8.207;-1054.323608;1615.860474;1142.528320;0.062302;-0.716944;0.058514;-0.691871;3098.4353;1401.4353;82.5831;0.8686;3225.4692;1528.4692;90.0689;0.9265
2998;897.0000;2914.4424;2017.4424;224.9100;1.7000;1.2757;8.455;-1288.957886;1626.672485;1184.696533;0.091986;-0.723607;0.070022;-0.680461;2115.8770;1218.8770;135.8837;1.2381;2143.0774;1246.0774;138.9161;1.2565
3026;557.0000;2041.4014;1484.4014;266.4994;1.8738;1.5303;9.178;-1535.320435;1608.055298;1262.996948;0.074644;-0.752878;0.052833;-0.651775;1655.6523;1098.6523;197.2446;1.5717;1517.4525;960.4525;172.4331;1.4459
3051;317.0000;1398.3363;1081.3363;341.1156;2.1412;1.8450;8.236;-1849.181641;1588.558472;1297.427246;0.073676;-0.754835;0.021814;-0.651399;979.2533;662.2533;208.9127;1.6272;1025.4335;708.4335;223.4806;1.6937
3080;207.0000;956.2317;749.2317;361.9477;2.2077;2.2057;6.190;-2217.200195;1590.836426;1272.721924;0.081330;-0.785348;-0.003428;-0.613679;692.4929;485.4929;234.5376;1.7422;696.0776;489.0776;236.2694;1.7496
3106;147.0000;728.2046;581.2046;395.3773;2.3085;2.5188;2.928;-2542.363037;1562.551392;1162.398193;0.062778;-0.787421;-0.006806;-0.613172;378.3498;231.3498;157.3808;1.3639;533.6389;386.6389;263.0196;1.8600
3132;107.0000;546.2090;439.2090;410.4757;2.3518;2.8848;2.376;-2912.276367;1581.442871;1086.901367;0.052800;-0.797147;-0.023709;-0.601005;417.8941;310.8941;290.5552;1.9655;397.9398;290.9398;271.9063;1.8949
3159;83.0000;433.2069;350.2069;421.9360;2.3839;3.2636;2.420;-3291.463379;1586.749512;1075.718262;0.048996;-0.777361;-0.013565;-0.626996;311.6892;228.6892;275.5291;1.9089;315.8728;232.8728;280.5696;1.9282
3201;62.0000;337.6465;275.6465;444.5911;2.4452;3.7133;2.534;-3741.918457;1585.380493;1036.873047;0.035701;-0.754459;-0.029965;-0.654690;240.5048;178.5048;287.9110;1.9557;246.7445;184.7445;297.9750;1.9927
3233;50.0000;288.5415;238.5415;477.0831;2.5288;4.0382;2.359;-4064.198730;1586.239258;1148.710205;0.036338;-0.728406;-0.016793;-0.683975;244.4180;194.4180;388.8360;2.2894;210.1597;160.1597;320.3194;2.0715
3270;47.0000;263.8378;216.8378;461.3570;2.4889;4.2203;2.947;-4241.827637;1593.237793;1245.022583;0.028037;-0.721440;-0.029558;-0.691277;139.9306;92.9306;197.7247;1.5740;193.4953;146.4953;311.6920;2.0416
3305;43.0000;244.8983;201.8983;469.5310;2.5098;4.3846;2.773;-4406.364746;1584.288086;1246.315674;0.020788;-0.719005;-0.024440;-0.694264;166.9795;123.9795;288.3244;1.9573;179.2414;136.2414;316.8405;2.0595
3338;37.0000;219.6042;182.6042;493.5250;2.5693;4.6222;2.738;-4643.681152;1582.599976;1259.264404;0.029966;-0.700207;-0.025140;-0.712868;156.5769;119.5769;323.1808;2.0813;160.6596;123.6596;334.2151;2.1184
3374;32.0000;192.0807;160.0807;500.2523;2.5856;4.9453;3.314;-4961.979980;1591.500244;1344.191895;0.020701;-0.728077;-0.040134;-0.684006;95.3742;63.3742;198.0442;1.5755;140.9018;108.9018;340.3181;2.1385
3406;29.0000;175.2941;146.2941;504.4625;2.5957;5.1780;3.234;-5193.909668;1578.989136;1363.547363;0.020860;-0.722625;-0.037436;-0.689911;82.4555;53.4555;184.3293;1.5076;128.5438;99.5438;343.2544;2.1481
3445;27.0000;158.5117;131.5117;487.0803;2.5536;5.4497;2.559;-5469.984863;1567.195068;1304.076416;0.018196;-0.740748;-0.029596;-0.670884;139.6135;112.6135;417.0869;2.3704;115.7168;88.7168;328.5807;2.0996
3509;25.0000;156.6021;131.6021;526.4086;2.6471;5.4873;4.517;-5492.311523;1625.044556;1505.767944;0.034347;-0.742332;0.041639;-0.667855;103.0787;78.0787;312.3148;2.0437;114.1197;89.1197;356.4787;2.1905
3613;27.0000;185.5647;158.5647;587.2766;2.7809;5.0717;10.453;-4995.696777;1657.040527;2019.515259;0.003186;-0.806042;-0.020043;-0.591510;137.5649;110.5649;409.4997;2.3491;138.1773;111.1773;411.7678;2.3555
3660;29.0000;199.9253;170.9253;589.3976;2.7853;4.8972;11.728;-4800.936035;1657.494629;2094.012695;0.005314;-0.800728;0.002969;-0.598997;132.6199;103.6199;357.3098;2.1932;146.6999;117.6999;405.8618;2.3387
3705;32.0000;215.4379;183.4379;573.2435;2.7511;4.6508;14.596;-4502.129395;1675.739136;2265.555176;0.025534;-0.838806;-0.003434;-0.543820;158.2498;126.2498;394.5305;2.3061;152.0902;120.0902;375.2819;2.2488
3746;37.0000;249.1528;212.1528;573.3861;2.7514;4.2910;15.641;-4132.993652;1653.260742;2247.321289;0.023914;-0.851933;0.006313;-0.523067;172.1396;135.1396;365.2421;2.2180;178.8903;141.8903;383.4873;2.2735
3788;47.0000;295.7844;248.7844;529.3284;2.6538;3.9174;16.519;-3757.517334;1648.056396;2196.394287;0.007427;-0.853024;0.031802;-0.520849;209.3590;162.3590;345.4446;2.1552;217.5679;170.5679;362.9105;2.2107
3870;67.0000;432.3662;365.3662;545.3226;2.6900;3.1669;19.028;-2998.336914;1663.512451;2094.036133;-0.006946;-0.859797;0.002392;-0.510584;357.3757;290.3757;433.3966;2.4152;326.0126;259.0126;386.5860;2.2827
3914;87.0000;518.7864;431.7864;496.3062;2.5761;2.7819;21.287;-2597.152100;1665.672241;2061.945557;0.003423;-0.868834;0.003148;-0.495082;333.8165;246.8165;283.6971;1.9400;375.9190;288.9190;332.0908;2.1113
3954;107.0000;599.0131;492.0131;459.8253;2.4850;2.4493;23.549;-2250.804932;1656.138428;2024.265747;0.010843;-0.888431;0.012781;-0.458703;450.9037;343.9037;321.4053;2.0752;432.6228;325.6228;304.3203;2.0155
